原始行号,原始名称 (CSV),英文正式名称 (Formal Name),QID/标识,实体类型,内容描述 (中/英),判断依据与参考数据库
401,Series of Etruscan Phallic Symbols,Stampe di Simboli Fallici Etruschi,-,作品,指代由 皮拉内西 (Piranesi) 或 乔瓦尼·巴蒂斯塔·帕塞里 出版的关于伊特鲁里亚考古符号的版画。反映了18世纪对异教考古的赞助兴趣。 / Archaeological prints reflecting 18th-c. interest in Etruscan symbols.,"依据: IA; 库: British Museum, Getty"
402,Service de Documentation Photographique...,Service photographique des Musées Nationaux,Q106516330,机构,法国国家博物馆摄影文档中心。哈斯克尔在研究卢浮宫及法籍艺术品流转史时引用的核心影像库。 / Core photographic archive for French national museums.,"库: Gallica, Wikidata"
403,Servizio particolare,Servizio particolare,-,概念,指代赞助人与艺术家之间的“私人委托服务”。哈斯克尔以此探讨非市场化的独占性赞助契约。 / Private commission service between patron and artist.,依据: 原书 术语分析
404,Sheila Rinehart,Sheila Rinehart,-,人名,20世纪艺术史学家。哈斯克尔引用其对 卡西阿诺·达尔·波佐 (Cassiano dal Pozzo) “纸上博物馆”的研究。 / 20th-c. art historian cited for Dal Pozzo studies.,"库: JSTOR, Google Scholar"
405,Silvia Meloni Trkulja,Silvia Meloni Trkulja,-,人名,意大利顶级艺术史学家，佛罗伦萨宫廷赞助研究权威。哈斯克尔在考证美第奇家族晚期订单时多次引用其研究。 / Leading expert on Medici patronage and court art.,"库: DBI, Google Scholar"
406,Sketch for Venus at the Forge of Vulcan,Venus in the Forge of Vulcan (Sketch),-,作品,卢卡·焦尔达诺 (Luca Giordano) 或 普桑 的草图。哈斯克尔以此讨论巴洛克史诗画的创作准备流程。 / Preparatory sketch by Giordano or Poussin.,依据: 原书 p.124; 库: RKD
407,Social position of the artist,The Social Status of the Artist,-,概念,全书核心论题：探讨赞助制度如何推动艺术家从“手工艺人”向“宫廷知识分子”转型的社会地位变化。 / Core theme: social evolution of artists.,依据: 全书 绪论/结论
408,Social significance of painting,Social significance of painting,-,概念,绘画作为权力和地位象征的社会意义，哈斯克尔分析赞助人为何愿意为特定题材支付高价。 / The use of art as a tool for social standing.,依据: 全书 核心逻辑
409,Social status of artists,Social status of artists,-,概念,与 407 行相似，但侧重于法律与经济地位的微观分析（如行会与学院的权力更迭）。 / Micro-analysis of artists' legal and economic standing.,依据: 全书 核心逻辑
410,Soderini family,Soderini family,Q1419747,家族,佛罗伦萨显赫家族。哈斯克尔以此分析该家族在梅第奇时代及以后在跨国艺术交易中的赞助作用。 / Prominent Florentine family active in patronage.,"库: DBI, Wikidata"
411,Soprintendenza alle Gallerie,Soprintendenza alle Gallerie,-,机构,意大利官方的艺术监管机构。哈斯克尔在考证国家性收藏及文物保护史时提及。 / Italian official body for art supervision.,依据: 参考文献库
412,Spanish patronage,Spanish Patronage in Italy,-,概念,探讨 17-18 世纪西班牙王室及总督在意的大规模艺术订制与外交收购。 / Royal and Viceregal Spanish patronage in Italy.,依据: 原书 第8章
413,St Stanislaus Kostka on his Deathbed,Saint Stanislaus Kostka on his Deathbed,Q1230230,作品,皮埃尔·勒格罗斯 (Legros) 在圣安德烈奎里纳莱教堂创作的彩色大理石雕塑。耶稣会赞助的杰作。 / Polychrome sculpture by Legros; a Jesuit masterpiece.,"原书: 第6章; 库: RKD, Wikidata"
