原始行号,原始名称 (CSV),英文正式名称 (Formal Name),QID/标识,实体类型,内容描述 (中/英),判断依据与参考数据库
101,Consiglio del Consorzio,Consiglio del Consorzio di San Giuseppe,-,机构,威尼斯圣乔治·马焦雷教堂相关的艺术委员会。哈斯克尔以此讨论宗教团体对公共艺术的集体赞助。 / Art committee in Venice discussed regarding collective religious patronage.,"原书: 第11章; 库: Google Scholar, Venice Archives"
102,Conte Carpegna,Cardinal Gaspare di Carpegna,Q314227,人名,17世纪罗马极具影响力的红衣主教及古物、艺术赞助人。哈斯克尔研究其作为巴洛克晚期品味风向标的作用。 / Influential 17th-c. Roman Cardinal and major antiquarian patron.,"原书: 第6章; 库: DBI, Wikidata"
103,Conte Cavazza,Gaspare Cavazza,-,人名,18世纪威尼斯赞助人。哈斯克尔提及他在威尼斯画派（如提埃坡罗）赞助网络中的地位。 / 18th-c. Venetian patron in Tiepolo's circle.,原书: 第14章; 库: DBI
104,Copy of Annibale Carracci's Works,Copies after Annibale Carracci,-,作品,泛指17-18世纪赞助人订制的卡拉奇名作副本。哈斯克尔以此探讨经典大师作品的市场需求。 / Replicas of Carracci's works for patrons.,原书: 第4章; 库: RKD
105,Copy of Raphael's Loggias,Copies of Raphael's Loggie,-,作品,拉斐尔长廊的临摹件。哈斯克尔通过其在各大家族宫殿中的流行，分析梵蒂冈范式的传播。 / Copies of Raphael's Loggie at the Vatican.,原书: 第7章; 库: Internet Archive
106,Cornelius de Stael,Cornelis de Wael,Q1133614,人名,[纠错] 活跃于热那亚和罗马的佛兰德画家，是艺术交流与市场的关键中介。 / Flemish painter and agent in Italy.,依据: 拼写错误修复; 库: Getty ULAN
107,Count Waldstein,Karl Ernst von Waldstein,Q1730578,人名,哈斯克尔提及的波西米亚贵族，17世纪末在意大利进行的宏大艺术采购。 / Bohemian noble and patron in late 17th-c. Italy.,依据: 赞助背景; 库: Wikidata
108,Count of Monterrey,Manuel de Acevedo y Zúñiga,Q2534888,人名,那不勒斯总督，西班牙国王在意大利的核心赞助代理人。 / Spanish Viceroy of Naples and major art patron.,原书: 第8章; 库: Wikidata
109,Couvent des Augustins Déchaussés,Couvent des Petits-Pères,Q3001642,机构,巴黎赤足奥斯定会修道院。哈斯克尔以此讨论法意修会间的艺术标准流变。 / Discalced Augustinian convent in Paris.,"依据: IA; 库: Gallica, Wikidata"
110,Cremonese School,Cremonese School,Q3953335,概念,克雷莫纳画派。哈斯克尔分析其对伦巴第现实主义赞助传统的贡献。 / Artistic school of Cremona.,依据: 艺术史术语; 库: Getty AAT
111,Creusa imploring Aeneas,Creusa imploring Aeneas,-,作品,弗朗切斯科·索利梅纳 (Solimena) 为马切拉塔 Buonaccorsi 宫创作。体现了赞助人对英雄史诗叙事的审美。 / By Solimena for Palazzo Buonaccorsi.,原书: p.231; 库: RKD
112,Cristoforo Tencalla,Cristoforo Tencalla,Q1140498,人名,巴洛克建筑师。哈斯克尔通过其在多地的工程分析赞助人的跨区域审美偏好。 / Baroque architect active in Central Europe.,"库: Wikidata, DBI"
113,Customs duty on pictures,Customs duty on art,-,概念,艺术品进出口关税。哈斯克尔探讨艺术品作为商品在欧洲流通的经济壁垒。 / Economic barriers to the art trade.,原书: 第16章; 库: JSTOR
114,Dance of Nymphs,Dance of Nymphs,-,作品,常见于 克劳德·洛兰 或 普桑 的理想风景画中。哈斯克尔探讨其在古典口味中的象征意义。 / Subject in classical landscapes by Claude or Poussin.,原书: 第6章; 库: RKD
115,Daniele Dolfin III,Daniele Dolfin,Q3014936,人名,威尼斯政治家与赞助人。哈斯克尔研究多尔芬家族在威尼斯末期的权力与艺术投入。 / Venetian statesman and patron.,依据: 家族谱系; 库: DBI
116,Daniele Dolfin IV,Daniele Dolfin IV,-,人名,威尼斯高级官员。哈斯克尔以此讨论18世纪威尼斯贵族的官僚赞助模式。 / Venetian official and family patron.,依据: 家族谱系; 库: DBI
