Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Sacrifice of Abraham,The Sacrifice of Isaac,Work,[Category Fix] 常见的艺术主题。
Sacrifice of Iphigenia,The Sacrifice of Iphigenia,Work,[Category Fix] 提埃坡罗等人的画作。
Sacrifices to Priapus,Sacrifices to Priapus,Work,[Category Fix] 祭祀普里阿普斯的主题。
"Sagredo, Gherardo",Gherardo Sagredo,Person,威尼斯贵族（Sagredo 家族）。
"Sagredo, Niccol辰",Niccolò Sagredo,Person,"[OCR Fix] ""辰"" -> ""ò""。威尼斯总督。"
"Sagredo, Stefano",Stefano Sagredo,Person,
"Sagrestani, Giovan Camillo",Giovanni Camillo Sagrestani,Person,佛罗伦萨晚期巴洛克画家。
Saint Andrew,Saint Andrew,Person,圣安德烈（人物）。
Saint Catherine of Siena,Saint Catherine of Siena,Person,圣凯瑟琳（锡耶纳）。
Saint Charles at the Four Fountains,San Carlo alle Quattro Fontane,Place,罗马教堂。
Saint Dominic,Saint Dominic,Person,圣多明我。
Saint George,Saint George,Person,圣乔治。
Saint Joseph,Saint Joseph,Person,圣约瑟夫。
Saint Longinus,Saint Longinus,Work,[Category Fix] 贝尼尼的雕塑或艺术形象。
Saint Paul,Saint Paul,Person,圣保罗。
Saint Peter,Saint Peter,Person,圣彼得。
Saint Peter Penitent,Saint Peter Penitent,Work,[Category Fix] 忏悔的圣彼得（Guercino 等画作）。
Saint Petersburg,Saint Petersburg,Place,圣彼得堡。
Saint Philip Neri,Saint Philip Neri,Person,圣菲利波·内里。
Saint Sebastian,Saint Sebastian,Person,圣塞巴斯蒂安。
Saint Susanna,Saint Susanna,Work,[Category Fix] Duquesnoy 的雕塑或圣人形象。
"Saint-Non, Abb谷 de",Jean-Claude Richard de Saint-Non,Person,"[OCR Fix] ""Abb谷"" -> ""Abbé""。著名的艺术赞助人和版画家。"
"Saint-Sauveur, Monsieur de",Monsieur de Saint-Sauveur,Person,[Context] 可能是法国外交官或相关人物。
SaintMathieu Church,Saint-Mathieu Church,Place,"[OCR Fix] ""SaintMathieu"" -> ""Saint-Mathieu""。"
SaintOmer,Saint-Omer,Place,"[OCR Fix] ""SaintOmer"" -> ""Saint-Omer""。"
Saints Nereus and Achilleus,Santi Nereo e Achilleo,Place,罗马教堂或圣人。
Saints Peter and Paul Baptising in the Mamertine Prison,Saints Peter and Paul Baptizing in the Mamertine Prison,Work,[Category Fix] 艺术主题。
Salomon de Brosse,Salomon de Brosse,Person,法国建筑师（卢森堡宫）。
Salone,Salone,Place,[Ambiguous] 帕多瓦的 Palazzo della Ragione (Il Salone) 或泛指大厅。
Salumieri Guild,Arte dei Salumieri,Group,[Category Fix] 威尼斯行会（咸肉商）。
"Saluzzi, Alessandro",Alessandro Saluzzi,Person,
Salvator Rosa,Salvator Rosa,Person,萨尔瓦托·罗萨。
Salvator Varda,Salvator Varda,Person,[Verify] 可能是 Salvator Rosa 的误读，或罕见人物。经查有医生 Salvator Varda。
Salviati family,Salviati family,Group,佛罗伦萨家族。
Salvino Salvini,Salvino Salvini,Person,佛罗伦萨雕塑家。
Samson,Samson,Person,圣经人物。
Samson killing a thousand with a jawbone,Samson Slaying a Thousand with the Jawbone of an Ass,Work,[Category Fix] 艺术主题。
Samuel H. Kress Foundation,Samuel H. Kress Foundation,Organization,[Category Fix] 艺术基金会。
Samuel Henry Kress,Samuel Henry Kress,Person,美国收藏家。
Samuel Hill,Samuel Hill,Person,可能是英国版画家或美国收藏家。
Samuel Johnson,Samuel Johnson,Person,约翰逊博士。
Samuel von Pufendorf,Samuel von Pufendorf,Person,德国法学家。
Samuele Romanin,Samuele Romanin,Person,威尼斯历史学家。
San Bartolomeo all'Isola,San Bartolomeo all'Isola,Place,罗马教堂。
San Basilio agli Orti Sallustiani,San Basilio agli Orti Sallustiani,Place,罗马教堂。
San Canciano,San Canciano,Place,威尼斯教堂。
San Carlo ai Catinari,San Carlo ai Catinari,Place,罗马教堂。
San Francesco de' Macci,San Francesco de' Macci,Place,佛罗伦萨教堂。
San Francesco della Vigna,San Francesco della Vigna,Place,威尼斯教堂。
San Gaetano,San Gaetano,Place,佛罗伦萨或帕多瓦教堂。
San Giorgio Monastery,San Giorgio Maggiore,Place,威尼斯修道院。
San Giovanni Crisostomo,San Giovanni Grisostomo,Place,威尼斯教堂。
San Giovanni Decollato,San Giovanni Decollato,Place,罗马教堂。
San Giovanni in Laterano,San Giovanni in Laterano,Place,拉特朗圣约翰大殿。
San Girolamo della Carit角,San Girolamo della Carità,Place,"[OCR Fix] ""Carit角"" -> ""Carità""。罗马教堂。"
San Lanfranco Church,San Lanfranco,Place,帕维亚教堂。
San Lorenzo in Damaso,San Lorenzo in Damaso,Place,罗马教堂。
San Luigi dei Francesi,San Luigi dei Francesi,Place,罗马法兰西教堂。
San Martino ai Monti,San Martino ai Monti,Place,罗马教堂。
San Matio,San Matteo,Place,"[OCR Fix/Dialect] 威尼斯方言 ""San Matio"" (San Matteo)。"
San Niccolo al Lido,San Niccolò al Lido,Place,威尼斯利多岛教堂。
"San Pietro, Perugia",San Pietro (Perugia),Place,佩鲁贾教堂。
"San Rocco, Scuola di",Scuola Grande di San Rocco,Organization,威尼斯圣罗格大会堂。
San Salvador,San Salvador,Place,威尼斯教堂。
San Salvatore in Lauro,San Salvatore in Lauro,Place,罗马教堂。
"San Salvatore, Brescia",San Salvatore (Brescia),Place,布雷西亚修道院。
San Sebastiano,San Sebastiano,Place,威尼斯教堂（委罗内塞埋葬地）。
San Sebastiano fuori le mura,San Sebastiano fuori le mura,Place,罗马教堂。
San Sisto Vecchio,San Sisto Vecchio,Place,罗马教堂。
"San Tom角, Venice",San Tomà,Place,"[OCR Fix] ""Tom角"" -> ""Tomà""。威尼斯教堂。"
San Vitale,San Vitale,Place,拉文纳或威尼斯教堂。
San Zaccaria,San Zaccaria,Place,威尼斯教堂。
"San Zaccaria, Venice",San Zaccaria,Place,[Duplicate] 同上。
Sandi palace,Palazzo Sandi,Place,[Category Fix] 威尼斯宫殿（提埃坡罗壁画）。
Sandrina Bandera Bistoletti,Sandrina Bandera Bistoletti,Person,现代艺术史学家（布雷拉美术馆馆长）。
Sant'Agnese in Agone,Sant'Agnese in Agone,Place,罗马教堂。
Sant'Alvise,Sant'Alvise,Place,威尼斯教堂。
Sant'Andrea al Quirinale,Sant'Andrea al Quirinale,Place,罗马教堂（贝尼尼）。
Sant'Andrea della Valle,Sant'Andrea della Valle,Place,罗马教堂。
Sant'Aponal,Sant'Aponal,Place,威尼斯教堂。
Sant'Ignazio Church,Sant'Ignazio di Loyola,Place,罗马教堂（波佐壁画）。
Santa Bibiana Church,Santa Bibiana,Place,罗马教堂（贝尼尼雕塑）。
Santa Maria Assunta,Santa Maria Assunta,Place,常见的教堂名（如威尼斯I Gesuiti）。
Santa Maria Formosa,Santa Maria Formosa,Place,威尼斯教堂。
Santa Maria Gloriosa dei Frari,Santa Maria Gloriosa dei Frari,Place,威尼斯弗拉里教堂。
Santa Maria Maddalena dei Pazzi,Santa Maria Maddalena dei Pazzi,Place,佛罗伦萨教堂。
Santa Maria Maggiore,Santa Maria Maggiore,Place,罗马圣母大殿。
Santa Maria Zobenigo,Santa Maria del Giglio,Place,别名 Zobenigo，威尼斯教堂。
Santa Maria degli Scalzi,Santa Maria di Nazareth (Scalzi),Place,威尼斯赤足教堂。
Santa Maria del Popolo,Santa Maria del Popolo,Place,罗马教堂。
Santa Maria del Rosario,Santa Maria del Rosario (Gesuati),Place,威尼斯Gesuati教堂。
Santa Maria della Concezione...,Santa Maria della Concezione dei Cappuccini,Place,罗马骨骸寺。
"Santa Maria della Fava, Venice",Santa Maria della Fava,Place,威尼斯教堂。
Santa Maria della Pace,Santa Maria della Pace,Place,罗马教堂。
Santa Maria della Piet角,Santa Maria della Pietà,Place,"[OCR Fix] ""Piet角"" -> ""Pietà""。威尼斯教堂（维瓦尔第）。"
Santa Maria della Salute,Santa Maria della Salute,Place,威尼斯安康圣母堂。
Santa Maria della Vittoria,Santa Maria della Vittoria,Place,罗马教堂。
Santa Maria di Loreto,Santa Maria di Loreto,Place,罗马教堂。
Santa Maria di Nazareth Basilica,Santa Maria di Nazareth (Scalzi),Place,威尼斯赤足教堂。
Santa Maria in Montesanto,Santa Maria in Montesanto,Place,罗马人民广场双子教堂之一。
