Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
John Walker,John Walker,Person,[Validation] 艺术史学家/策展人 (National Gallery of Art)。
John Webster,John Webster,Person,[Validation] 剧作家。
John Woodward,John Woodward,Person,[Validation] 地质学家/收藏家 (Gems)。
John the Baptist,Saint John the Baptist,Person,[Validation] 圣徒。
Joint caricature of Simonelli and Mola,Joint caricature of Simonelli and Mola,Work,[Validation] 讽刺画。
Josef Grisar,Josef Grisar,Person,[Validation] 耶稣会历史学家 (Papal finance)。
Joseph Addison,Joseph Addison,Person,[Validation] 作家/政治家。
Joseph Perrot,Joseph Perrot,Person,[Validation] 画家/人物。
Joseph Smith,Joseph Smith (Consul),Person,[Disambiguation] 英国驻威尼斯领事/收藏家。
Joseph Sold by his Brothers,Joseph Sold by his Brothers,Work,[Validation] 绘画主题。
Joseph Valfrey,Joseph Valfrey,Person,[Check Original] 可能是 Joseph Valfrey 或 Valfré? 待定。
Joseph Vernet,Claude-Joseph Vernet,Person,[Disambiguation] 法国风景画家。
Joseph Wagner,Joseph Wagner,Person,[Validation] 威尼斯版画家 (Wagner workshop)。
Joseph and Potiphar's Wife,Joseph and Potiphar's Wife,Work,[Validation] 绘画主题。
Joseph de Guibert,Joseph de Guibert,Person,[Validation] 耶稣会历史学家 (Jesuit spirituality)。
Joshua Reynolds,Joshua Reynolds,Person,[Validation] 英国画家。
Juan de Pareja,Juan de Pareja,Person,[Validation] 西班牙画家 (Velázquez助手)。
"Juan de Tassis, 2nd Count of Villamediana","Juan de Tassis y Peralta, 2nd Count of Villamediana",Person,[Full Name] 西班牙诗人/外交官。
Juan van der Hamen,Juan van der Hamen,Person,[Validation] 西班牙静物画家。
Judith,Judith,Person,[Validation] 圣经人物。
Judith shows the people the head of Holofernes,Judith shows the people the head of Holofernes,Work,[Validation] 绘画主题。
Judith with the Head of Holofernes,Judith with the Head of Holofernes,Work,[Validation] 绘画主题。
Judith with the head of Holofernes,Judith with the Head of Holofernes,Work,[Validation] 绘画主题。
Jules Mazarin,Cardinal Mazarin,Person,[Disambiguation] 马萨林枢机。
Julian the Apostate,Julian (Emperor),Person,[Disambiguation] 尤利安皇帝。
Julius von Schlosser,Julius von Schlosser,Person,[Validation] 艺术史学家 (Vienna School)。
Juno,Juno,Person (Myth),[Validation] 女神。
"Juno, Goddess of Air","Juno, Goddess of Air",Work/Person,[Validation] 寓意画主题。
Jupiter,Jupiter,Person (Myth),[Validation] 主神。
Jupiter among the Corybantes,Jupiter among the Corybantes,Work,[Validation] 绘画主题。
Jupiter and Antiope,Jupiter and Antiope,Work,[Validation] 绘画主题。
Jupiter and Io with Cupid and Attendant Putti,Jupiter and Io with Cupid and Attendant Putti,Work,[Validation] 绘画主题。
Jupiter giving Suck,Jupiter giving Suck,Work,[Validation] 绘画主题 (可能是 Jupiter Suckled by the Goat Amalthea 的误读或变体)。
Jupiter handed over by Cybele to the Corybantes to be Fed,Jupiter handed over by Cybele to the Corybantes,Work,[Validation] 绘画主题。
Jupiter sending down his Thunder bolts on the Gods,Jupiter sending down his Thunderbolts,Work,[Validation] 绘画主题 (Giulio Romano等)。
Jusepe de Ribera,Jusepe de Ribera,Person,[Validation] 西班牙画家。
Justice,Justice,Person (Allegory),[Category Fix] 原文误标为 Man-Made Object。正义女神。
Justice Embracing Peace,Justice Embracing Peace,Work,[Validation] 绘画主题。
Justinus,Justinus (Historian) / Justin Martyr,Person,[Ambiguity] 可能是历史学家查士丁或殉道者查士丁。
Justus of Ghent,Justus of Ghent (Joos van Wassenhove),Person,[Validation] 早期尼德兰画家。
Justus van Gent,Justus of Ghent,Person,[Validation] 同上。
Jér?me Lalande,Jérôme Lalande,Person,"[OCR Fix] ""?"" -> ""ô""。天文学家/旅行作家。"
Jér?me Richard,Jérôme Richard,Person,"[OCR Fix] ""?"" -> ""ô""。旅行作家 (Abbé Richard)。"
Kaisersaal,Kaisersaal (Würzburg),Place,[Validation] 维尔茨堡宫帝王厅 (Tiepolo壁画)。
Karel van Mander III,Karel van Mander III,Person,[Validation] 荷兰画家/诗人。
Karl Ludwig Freiherr von P?llnitz,Karl Ludwig von Pöllnitz,Person,"[OCR Fix] ""?"" -> ""ö""。回忆录作者。"
Karl Philipp von Greiffenklau,Karl Philipp von Greiffenclau,Person,[Validation] 维尔茨堡采邑主教。
Karl Theodore Parker,K. T. Parker,Person,[Validation] 艺术史学家/策展人 (Ashmolean)。
Karolina Lanckorońska,Karolina Lanckorońska,Person,[Validation] 艺术史学家/收藏家。
Karolus Magnus,Charlemagne,Person,[Disambiguation] 查理曼大帝。
Kassel,Kassel,Place,[Validation] 城市。
Kate Steinitz,Kate Steinitz,Person,[Validation] 达芬奇学者/艺术家。
Keller Peninsula,Keller Peninsula,Place,[Validation] 地名。
Kenneth Donahue,Kenneth Donahue,Person,[Validation] 艺术史学家 (LACMA馆长)。
Kimbolton,Kimbolton Castle,Place,[Validation] 曼切斯特公爵府邸 (Pellegrini壁画)。
King George I,George I of Great Britain,Person,[Category Fix] 原文误标为 Man-Made Object。
King George Island,King George Island,Place,[Validation] 岛屿 (南极)。
King Midas,King Midas,Person (Myth),[Category Fix] 原文误标为 Man-Made Object。
