Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Pietro Loredan,Pietro Loredan,Person,威尼斯总督。
Pietro Magni,Pietro Magni,Person,雕塑家（19世纪），需确认是否为同名早期人物，但最著名的是他。
Pietro Metastasio,Pietro Metastasio,Person,著名剧作家和诗人。
Pietro Monaco,Pietro Monaco,Person,威尼斯版画家。
Pietro Moschini,Pietro Moschini,Person,19世纪画家/版画家。
Pietro Negri,Pietro Negri,Person,威尼斯画家（暗色派）。
Pietro Ottoboni,Pietro Ottoboni,Person,著名的红衣主教与艺术赞助人。
Pietro Paltronieri,Pietro Paltronieri,Person,别名 Il Mirandolese。
Pietro Paolini,Pietro Paolini,Person,卢卡画家。
Pietro Perugino,Pietro Perugino,Person,佩鲁吉诺。
Pietro Pirri,Pietro Pirri,Person,耶稣会历史学家。
Pietro Romano,Pietro Romano,Person,艺术史学家（罗马研究）。
Pietro Rotari,Pietro Rotari,Person,维罗纳画家，活跃于俄罗斯。
Pietro Santi Bartoli,Pietro Santi Bartoli,Person,罗马版画家/古董学者。
Pietro Tacca,Pietro Tacca,Person,佛罗伦萨巴洛克雕塑家。
Pietro Tacchi Venturi,Pietro Tacchi Venturi,Person,耶稣会历史学家。
Pietro Testa,Pietro Testa,Person,别名 Il Lucchesino。
Pietro Verri,Pietro Verri,Person,启蒙思想家。
Pietro Visconti,Pietro Visconti,Person,考古学家（罗马古迹委员会）。
Pietro Zuccoli,Pietro Zuccoli,Person,
Pietro da Cortona,Pietro da Cortona,Person,皮埃特罗·达·科尔托纳。
Pietro da Pietri,Pietro de' Pietri,Person,
Pietro della Vecchia,Pietro della Vecchia,Person,威尼斯画家。
Piet角,Pietà,Work,"[OCR Fix] ""Piet角"" -> ""Pietà""。圣母怜子图。"
Piet角 (Cosm豕 Tura),Pietà (Cosmè Tura),Work,"[OCR Fix] ""Piet角""->""Pietà"", ""Cosm豕""->""Cosmè""。科斯梅·图拉的作品。"
"Pignatelli, Antonio (Pope Innocent XII)",Innocent XII,Person,教皇英诺森十二世。
"Pilati, Carlo Antonio",Carlo Antonio Pilati,Person,启蒙法学家/历史学家。
Pilsen,Plzeň,Place,比尔森（捷克）。
Pinacoteca Nazionale di Bologna,Pinacoteca Nazionale di Bologna,Organization,[Category Fix] 博物馆。
Pinacoteca Vaticana,Pinacoteca Vaticana,Organization,[Category Fix] 梵蒂冈美术馆。
Pinacoteca at Lucca,Pinacoteca Nazionale di Lucca,Organization,[Category Fix] 卢卡国立美术馆。
Pinacoteca di Brera,Pinacoteca di Brera,Organization,[Category Fix] 布雷拉美术馆。
Pincian Hill,Pincian Hill,Place,罗马平丘山。
Pio Pecchiai,Pio Pecchiai,Person,档案学家/历史学家。
"Pio, Cardinal",Carlo Emanuele Pio di Savoia,Person,红衣主教（Pio di Savoia家族）。
"Pio, Prince",Prince Pio di Savoia,Person,
"Piola, Paolo Girolamo",Paolo Gerolamo Piola,Person,热那亚画家。
"Piranesi, Giovanni Battista",Giovanni Battista Piranesi,Person,皮拉内西。
"Pisa, Treaty of",Treaty of Pisa,Event,1664年条约。
Pisani palace,Palazzo Pisani,Place,[Category Fix] 威尼斯宫殿（如 Palazzo Pisani Moretta）。
"Pisani, Almor辰",Almorò Pisani,Person,"[OCR Fix] ""辰"" -> ""ò""。威尼斯贵族。"
"Pitt, William, the Elder","William Pitt, 1st Earl of Chatham",Person,老威廉·皮特。
"Pitteri, Marco",Marco Pitteri,Person,威尼斯版画家。
Pitti Palace,Palazzo Pitti,Place,[Category Fix] 原文误标为 Man-Made Object。
"Pittoni, Giovan Battista",Giovanni Battista Pittoni,Person,威尼斯洛可可画家。
Pius V,Pius V,Person,教皇庇护五世。
Platnerus,Ernst Zacharias Platner,Person,(Platner) 莱比锡的《Description of Rome》合著者。
Plutarch,Plutarch,Person,[Category Fix] 原文误标为 Man-Made Object。普鲁塔克。
"Po, Giacomo del",Giacomo del Po,Person,那不勒斯画家。
Po?arevac,Požarevac,Place,"[OCR Fix] ""?"" -> ""ž""。塞尔维亚城市（Passarowitz）。"
"Podest角, Andrea",Andrea Podestà,Person,"[OCR Fix] ""Podest角"" -> ""Podestà""。画家/版画家。"
"Poelenburgh, Cornelius",Cornelis van Poelenburgh,Person,荷兰风景画家。
Poggio,Poggio a Caiano,Place,[Context] 通常指 Poggio a Caiano 别墅。
Poggio a Caiano,Medici Villa of Poggio a Caiano,Place,美第奇别墅。
"Polazzo, Francesco",Francesco Polazzo,Person,[Category Fix] 原文误标为 Place。威尼斯画家。
"Poleni, Marchese Giovanni",Giovanni Poleni,Person,[Category Fix] 原文误标为 Man-Made Object。科学家/侯爵。
Polidoro da Caravaggio,Polidoro da Caravaggio,Person,拉斐尔的学生。
Polynices,Polynices,Person,[Myth] 波吕尼刻斯（俄狄浦斯之子）。
Polyxena,Polyxena,Person,[Myth] 波吕克塞娜（普里阿摩斯之女）。
Pomarance,Pomarance,Place,托斯卡纳城镇。
"Pomarance, Niccol辰 Circignani dalle",Niccolò Circignani,Person,"[OCR Fix] ""Niccol辰"" -> ""Niccolò""。别名 Il Pomarancio。"
Pomerancio,Il Pomarancio,Person,"可指 Niccolò Circignani, Antonio Circignani 或 Cristoforo Roncalli。需结合语境。"
Pommersfelden,Schloss Weißenstein (Pommersfelden),Place,申博恩伯爵的宫殿所在地。
"Pompeati, Domenico",Domenico Pompeati,Person,
Pompeii,Pompeii,Place,庞贝。
Pompeo Girolamo Batoni,Pompeo Batoni,Person,庞贝奥·巴托尼。
Pompeo Litta Biumi,Pompeo Litta Biumi,Person,历史学家（意大利贵族世系作者）。
Pompeo Marino Molmenti,Pompeo Marino Molmenti,Person,19世纪画家。
Pont Neuf,Pont Neuf,Place,巴黎新桥。
Ponte Sant'Angelo,Ponte Sant'Angelo,Place,罗马圣天使桥。
Ponte dei Bareteri,Ponte dei Bareteri,Place,威尼斯桥梁。
Pontifical Academy of Fine Arts...,Pontifical Academy of Fine Arts and Letters of the Virtuosi al Pantheon,Organization,[Category Fix] 万神殿艺术家协会。
Pontifical Gregorian University,Pontifical Gregorian University,Organization,[Category Fix] 罗马格里高利大学。
Pontifical basilica of the Holy House...,Basilica della Santa Casa,Place,洛雷托圣家大殿。
Pope Alexander VII,Alexander VII,Person,
Pope Alexander VIII,Alexander VIII,Person,
Pope Clement X,Clement X,Person,
Pope Innocent XI,Innocent XI,Person,
Pope Leo and Attila,The Meeting of Leo the Great and Attila,Work,[Category Fix] 拉斐尔或阿尔加迪的作品。
"Pope Pius V, Thomas Aquinas and Vincent Ferrer","Pope Pius V, St Thomas Aquinas, and St Vincent Ferrer",Work,[Category Fix] 画作主题。
"Pordenone, Giovanni Antonio da",Pordenone,Person,(Giovanni Antonio de' Sacchis) 画家波代诺内。
Port,Port,Concept,[Ambiguous] 港口（泛指或特指某画作中的港口景象）。
Porta Pia,Porta Pia,Place,罗马皮亚门（米开朗基罗设计）。
"Portland, Henry, first Duke of","Henry Bentinck, 1st Duke of Portland",Person,
Portrait of Cardinal Camillo Massimi,Portrait of Cardinal Camillo Massimi,Work,[Category Fix] 委拉斯开兹或其他人的画作。
Portrait of Donna Olimpia,Portrait of Donna Olimpia Maidalchini,Work,[Category Fix] 可能是 Bacciccio 的画作或半身像。
Portrait of Donna Olimpia Maidalchini,Portrait of Donna Olimpia Maidalchini,Work,[Category Fix]
Portrait of Field Marshal Schulenburg,Portrait of Field Marshal Schulenburg,Work,[Category Fix] 帕尼尼或瓜尔迪等人的画作。
Portrait of Innocent X,Portrait of Innocent X,Work,[Category Fix] 委拉斯开兹的著名画作。
Portrait of John Law,Portrait of John Law,Work,[Category Fix] 罗萨尔巴·卡列拉的色粉画。
Portrait of Juan de Pareja,Portrait of Juan de Pareja,Work,[Category Fix] 委拉斯开兹画作。
Portrait of King John of Poland,Portrait of King John III Sobieski,Work,[Category Fix]
Portrait of Madame Rosenberg,Portrait of Madame Rosenberg,Work,[Category Fix] 可能是 Orsini-Rosenberg 伯爵夫人，Giustiniani 曾为其作画。
Portrait of Maffeo Barberini...,Portrait of Maffeo Barberini,Work,[Category Fix] 卡拉瓦乔画作。
Portrait of Ottaviano Prati,Portrait of Ottaviano Prati,Work,[Category Fix]
Portrait of Pierre Motteux,Portrait of Peter Anthony Motteux,Work,[Category Fix]
Portrait of Pope Clement IX,Portrait of Pope Clement IX,Work,[Category Fix] 马拉塔或 Bacciccio 画作。
Portrait of Pope Innocent X Pamphili,Portrait of Innocent X,Work,[Category Fix] 同上。
Portrait of Sigismund Streit,Portrait of Sigismund Streit,Work,[Category Fix] 费多里尼（Amigoni）或其他人作品。
Portrait of St. Francis Xavier,Portrait of St. Francis Xavier,Work,[Category Fix] 巴aciccio 等作品。
