Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
piazza della Signoria,Piazza della Signoria,Place,佛罗伦萨领主广场。
protestant cemetery,Protestant Cemetery,Place,泛指（如罗马 Cimitero Acattolico 或威尼斯）。
rue de Richelieu,Rue de Richelieu,Place,巴黎街道。
senate,Senate,Organization,[Category Fix] 原文误标为 Place。参议院（威尼斯或罗马）。
shrines,Shrines,Place,圣地/神龛（泛指）。
"sketch for ""Venus at the furnace of Vulcan""",Sketch for Venus at the Forge of Vulcan,Work,[Category Fix] 提埃坡罗或 Boucher 的草图。
state rooms,State Rooms,Place,国事厅（泛指宫殿内部）。
temple of fortune,Temple of Fortuna,Place,命运女神庙（如 Palestrina）。
una favola d'Enea,A Scene from the Aeneid,Work,[Category Fix] 埃涅阿斯纪的故事场景（fable/story）。
via Balbi,Via Balbi,Place,热那亚街道（宫殿群所在地）。
via Giuseppe Garibaldi,Via Garibaldi (Genoa),Place,热那亚“新街”（Strada Nuova）。
谷glise SainteAnnelaRoyale,Église Sainte-Anne-la-Royale,Place,"[OCR Fix] ""谷"" -> ""É""。巴黎教堂（Theatines）。"
谷mile Male,Émile Mâle,Person,"[OCR Fix] ""谷"" -> ""É"", ""Male"" -> ""Mâle""。著名的法国中世纪艺术史学家。"
谷mile Molinier,Émile Molinier,Person,"[OCR Fix] ""谷"" -> ""É""。法国艺术史学家/策展人。"
谷tienne Charles de Lom谷nie de Brienne,Étienne Charles de Loménie de Brienne,Person,"[OCR Fix] ""谷"" -> ""É"", ""Lom谷nie"" -> ""Loménie""。法国枢机/政治家。"
谷tienne de Silhouette,Étienne de Silhouette,Person,"[OCR Fix] ""谷"" -> ""É""。法国财政大臣（剪影画 silhouette 词源）。"
