Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Euclid,Euclid,Person,[Validation] 古希腊数学家。
"Eugene, Prince",Prince Eugene of Savoy,Person,[Disambiguation] 欧根亲王。
Eugène Michaud,Eugène Michaud,Person,[Validation] 历史学家 (19世纪)。
Europa,Europa,Person (Myth),[Category Fix] 原文误标为 Man-Made Object。神话人物。
European scientific societies,European scientific societies,Group/Concept,[Category Fix] 原文误标为 Place。
Eusebio Della Lena,Eusebio Della Lena,Person,[Validation] 威尼斯作家 (18世纪)。
Eustachio Manfredi,Eustachio Manfredi,Person,[Validation] 天文学家/诗人。
Eustachio Zanotti,Eustachio Zanotti,Person,[Validation] 天文学家。
Evelina Borea,Evelina Borea,Person,[Validation] 现代艺术史学家。
Everhard Jabach,Everhard Jabach,Person,[Validation] 收藏家 (路易十四赞助)。
"Exeter, 5th Lord","John Cecil, 5th Earl of Exeter",Person,[Disambiguation] 伯利勋爵/Grand Tour 旅行者。
Ezekiel,Ezekiel,Person,[Validation] 先知。
Fabia Borroni,Fabia Borroni Salvadori,Person,[Full Name] 版画研究学者。
Fabio Canal,Fabio Canal,Person,[Validation] 威尼斯画家。
Fabio Mauroner,Fabio Mauroner,Person,[Validation] 20世纪艺术史学家/版画家。
Fabio de Fabiis,Fabio de Fabiis,Person,[Validation] 罗马人物。
Fabio degli Abati Olivieri,Fabio degli Abati Olivieri,Person,[Validation] 枢机主教。
Fabrizio Moretti,Fabrizio Moretti,Person,[Context] 可能是现代艺术商 (Moretti Fine Art)，也可能指历史人物。鉴于列表多为艺术史相关，可能是前者或其画廊。需确认上下文。
Fabrizio Pignatelli d'Aragona...,Fabrizio Pignatelli d'Aragona,Person,[Validation] 贵族 (Monteleone公爵)。
Fabrizio Spada,Fabrizio Spada,Person,[Validation] 枢机主教。
Fabrizio Tarso,Fabrizio Tarso,Person,[Validation] 历史人物 (可能与 Spada 家族有关)。
Facade of S. Maria del Giglio,Facade of Santa Maria del Giglio,Work,[Validation] 威尼斯教堂立面 (Giuseppe Sardi)。
"Facciolati, Abate",Jacopo Facciolati,Person,[Reconstruction] 帕多瓦学者/语言学家。
Faith crushing Idolatry,Faith crushing Idolatry,Work,[Validation] 雕塑/绘画主题 (Theodon等)。
Fame Carrying the Name of Louis XIV...,Fame Carrying the Name of Louis XIV...,Work,[Validation] 绘画主题 (Le Brun等)。
Fame inscribing the glories of Louis XIV...,Fame inscribing the glories of Louis XIV...,Work,[Validation] 绘画主题。
Famiano Strada,Famiano Strada,Person,[Validation] 耶稣会历史学家。
Family Chapels in Santa Maria Maggiore,Chapels of Santa Maria Maggiore,Place,[Validation] 罗马教堂礼拜堂。
Family of Darius before Alexander the Great,The Family of Darius before Alexander,Work,[Validation] 委罗内塞画作。
Fantastical Heads in the Manner of Giorgione,Fantastical Heads in the Manner of Giorgione,Work,[Validation] 画作/版画描述 (Pietro della Vecchia等)。
Fantasy and reason,Fantasy and reason,Concept,[Validation] 艺术理论概念。
Farnese,Farnese (Family),Group,[Category Fix] 原文误标为 Place。
Farnese Palace,Palazzo Farnese,Place,[Category Fix] 原文误标为 Work。
"Farnese, Cardinal Alessandro",Alessandro Farnese (Cardinal),Person,[Reconstruction] 可能是指教皇保罗三世之前的身份，或其孙子 Alessandro Farnese il Giovane。需结合语境。通常指 il Giovane (著名赞助人)。
"Farnese, Odoardo, Duke of Parma","Odoardo Farnese, Duke of Parma",Person,[Validation] 帕尔马公爵。
"Farnese, Ranuccio II, Duke of Parma","Ranuccio II Farnese, Duke of Parma",Person,[Validation] 帕尔马公爵。
Farnesina,Villa Farnesina,Place,[Validation] 罗马别墅 (拉斐尔壁画)。
"Farsetti, Daniele",Daniele Farsetti,Person,[Reconstruction] 威尼斯赞助人/作家。
Fates,The Fates (Moirai),Person (Myth),[Category Fix] 原文误标为 Work。命运三女神。
Fausta Franchini Guelfi,Fausta Franchini Guelfi,Person,[Validation] 艺术史学家 (Alessandro Magnasco专家)。
Faustina Savorgnan,Faustina Savorgnan,Person,[Validation] 威尼斯贵族。
Fausto Rughesi,Fausto Rughesi,Person,[Validation] 建筑师 (Santa Maria in Vallicella立面)。
Federico Barocci,Federico Barocci,Person,[Validation] 乌尔比诺画家。
Federico Borromeo,Federico Borromeo,Person,[Category Fix] 原文误标为 Place。米兰枢机主教/Ambrosiana创建者。
Federico Cervelli,Federico Cervelli,Person,[Validation] 威尼斯画家 (Sebastiano Ricci的老师)。
Federico Cesi,Federico Cesi,Person,[Validation] 猞猁之眼学院创始人。
Federico Correr Lorenzetti,Federico Correr Lorenzetti,Person,"[Validation] 威尼斯贵族/收藏家? 需核实。可能是误将 ""Correr"" 和 ""Lorenzetti"" (Giulio Lorenzetti, 学者) 混合，或特定人物。"
Federico Zeri,Federico Zeri,Person,[Validation] 著名艺术史学家。
Federico Zuccari,Federico Zuccari,Person,[Validation] 风格主义画家/理论家。
Federico da Montefeltre,Federico da Montefeltro,Person,"[OCR Fix] ""Montefeltre"" -> ""Montefeltro""。乌尔比诺公爵。"
Federiko Benkovi?,Federico Bencovich,Person,"[OCR Fix] ""Federiko Benkovi?"" -> ""Federico Bencovich"" (Dalmatian painter)。"
"Fedini, Domenico",Domenico Fedini,Person,[Reconstruction] 18世纪佛罗伦萨/罗马神职人员/作家。
Felice Boscaratti,Felice Boscarati,Person,[Validation] 维罗纳画家。
Felice Salimbeni,Felice Salimbeni,Person,"[Validation] 20世纪艺术史学家? 还是误指 Ventura Salimbeni? 或者是 Felice (saint)? 搜索显示 Felice Boscarati 之后有 Salimbeni, 可能是 Ventura Salimbeni 的误拼或混淆。但也有可能是 Felice Salimbeni (Soprano castrato)。结合上下文 ""S_refined""，可能是 Ventura Salimbeni? 待定。更可能是 Ventura Salimbeni。"
Felice Torelli,Felice Torelli,Person,[Validation] 博洛尼亚画家。
Felicita Sartori,Felicita Sartori,Person,[Validation] 威尼斯女画家 (Rosalba Carriera学生)。
Ferdinand Boyer,Ferdinand Boyer,Person,[Validation] 历史学家 (法国对意艺术掠夺)。
"Ferdinand Maria, Elector of Bavaria","Ferdinand Maria, Elector of Bavaria",Person,[Validation] 巴伐利亚选帝侯。
Ferdinand van den Eynde,Ferdinand van den Eynde,Person,[Validation] 佛兰芒/罗马收藏家 (Duquesnoy墓碑)。
Ferdinando Carlo Gonzaga,Ferdinando Carlo Gonzaga,Person,[Validation] 曼图亚公爵。
Ferdinando Colonna of Stigliano,Ferdinando Colonna (Prince of Stigliano),Person,[Validation] 贵族。
Ferdinando Galiani,Ferdinando Galiani,Person,[Validation] 经济学家/作家 (Abbé Galiani)。
Ferdinando I de' Medici,Ferdinando I de' Medici,Person,[Validation] 托斯卡纳大公。
Ferdinando Raggi,Ferdinando Raggi,Person,[Validation] 18世纪建筑师 (Accademia di San Luca)。
Ferdinando d'Adda,Ferdinando d'Adda,Person,[Validation] 枢机主教。
Ferdinando de' Medici,Ferdinando de' Medici (Grand Prince),Person,"[Disambiguation] 可能是 Ferdinando I, II 或 Great Prince Ferdinando (Grand Tour/Art Patron)。在艺术语境中常指 Grand Prince Ferdinando (1663–1713)。"
Ferdinando de’ Medici,Ferdinando de' Medici,Person,[Validation] 同上。
Fernando Afán de Ribera,"Fernando Afán de Ribera, 3rd Duke of Alcalá",Person,[Full Name] 那不勒斯总督/收藏家。
Ferney,Ferney-Voltaire,Place,[Validation] 伏尔泰居所。
Ferrante Carlo,Ferrante Carli,Person,"[OCR Fix] ""Carlo"" -> ""Carli"" (17世纪作家/帕尔马宫廷)。"
Ferrara,Ferrara,Place,[Validation] 城市。
"Ferrerio, Andrea",Andrea Ferreri,Person,"[OCR Fix] ""Ferrerio"" -> ""Ferreri"" (巴洛克雕塑家)。"
"Ferretti, Gian Domenico",Gian Domenico Ferretti,Person,[Reconstruction] 佛罗伦萨洛可可画家。
"Feti, Domenico",Domenico Fetti,Person,[Reconstruction] 画家。
Filippo Baldinucci,Filippo Baldinucci,Person,[Validation] 艺术传记作家。
Filippo Bosdari,Filippo Bosdari,Person,[Validation] 博洛尼亚贵族/收藏家。
Filippo Brunelleschi,Filippo Brunelleschi,Person,[Validation] 建筑师。
Filippo Clementi,Filippo Clementi,Person,[Validation] 作曲家/人物。
Filippo Corsini,Filippo Corsini,Person,[Validation] 建筑师/贵族。
Filippo Farsetti,Filippo Farsetti,Person,[Validation] 威尼斯著名收藏家 (Farsetti Gallery)。
Filippo Gherardi,Filippo Gherardi,Person,[Validation] 卢卡画家。
Filippo Juvarra,Filippo Juvarra,Person,[Validation] 建筑师/舞美设计师。
Filippo Lauri,Filippo Lauri,Person,[Validation] 罗马画家。
Filippo Napoletano,Filippo Napoletano,Person,[Validation] 风景画家。
Filippo d'Angeli,Filippo d'Angeli (Filippo Napoletano),Person,[Validation] 同上。
Filippo della Valle,Filippo della Valle,Person,[Validation] 雕塑家。
"Filomarino, Cardinal",Ascanio Filomarino,Person,[Disambiguation] 那不勒斯大主教。
Finding of Romulus and Remus,Finding of Romulus and Remus,Work,[Validation] 绘画主题。
"Fiori, Mario de' (Mario Nuzzi)",Mario Nuzzi (Mario de' Fiori),Person,[Reconstruction] 静物画家。
Fitzwilliam Museum,Fitzwilliam Museum,Place,[Validation] 剑桥博物馆。
Flagstaff Glacier,Flagstaff / Glacier?,Place,"[Check Original] 极大概率是OCR错误或数据混淆。""Flagstaff"" 和 ""Glacier"" 似乎与17-18世纪艺术史无关。可能是 ""Galleria""? 待确认。"
Flaminio Corner,Flaminio Corner,Person,[Validation] 威尼斯历史学家 (Churches of Venice)。
Flaminio Scarselli,Flaminio Scarselli,Person,[Validation] 博洛尼亚学者。
