Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Burgundy,Burgundy,Place,[Validation] 地名。
"Burlington, Lord","Richard Boyle, 3rd Earl of Burlington",Person,[Disambiguation] 建筑赞助人 (Palladianism)。
Bust of Carlo Antonio del Pozzo,Bust of Carlo Antonio del Pozzo,Work,[Validation] 雕塑。
Bust of Democritus,Bust of Democritus,Work,[Validation] 雕塑主题。
Bust of Epicurus,Bust of Epicurus,Work,[Validation] 雕塑主题。
Bust of Francis Bacon,Bust of Francis Bacon,Work,[Validation] 雕塑 (Roubiliac等)。
Bust of Louis XIV,Bust of Louis XIV,Work,[Validation] 雕塑 (贝尼尼)。
Bust of Paolo Renier,Bust of Paolo Renier,Work,[Validation] 雕塑。
Bust of Phocion,Bust of Phocion,Work,[Validation] 雕塑主题。
Bust of Thomas Baker,Bust of Thomas Baker,Work,[Validation] 雕塑 (贝尼尼)。
"Byng, Admiral",John Byng (Admiral),Person,[Disambiguation] 英国海军上将。
Ca' Foscari,Ca' Foscari,Place,[Validation] 威尼斯宫殿/大学。
Ca' Foscari University of Venice,Ca' Foscari University of Venice,Organization,[Validation] 大学。
Ca' Pesaro,Ca' Pesaro,Place,[Validation] 威尼斯宫殿/博物馆。
Ca' Rezzonico,Ca' Rezzonico,Place,[Validation] 威尼斯宫殿/博物馆。
Ca' Sagredo,Ca' Sagredo,Place,[Validation] 威尼斯宫殿。
Ca' Vendramin Calergi,Ca' Vendramin Calergi,Place,[Validation] 威尼斯宫殿 (Wagner Museum/Casino)。
"Cadani, Stefano",Stefano Cadani,Person,"[Check Original] 极生僻，可能是 ""Stefano Catani"" (画家) 或 ""Cadani"" 为误植。待确认，暂保留原拼写或修正为 Catani。建议：Stefano Catani。"
Cadogan,"William Cadogan, 1st Earl Cadogan",Person,[Disambiguation] 将军/外交官。
Caesar Augustus,Augustus,Person,[Disambiguation] 罗马皇帝奥古斯都。
Caesar Baronius,Caesar Baronius,Person,[Validation] 枢机/历史学家。
Caesar Giving Cleopatra the Throne of Egypt,Caesar Giving Cleopatra the Throne of Egypt,Work,[Validation] 绘画主题 (Pietro da Cortona)。
Caesar and the Corsairs of Cilicia,Caesar and the Corsairs of Cilicia,Work,[Validation] 绘画主题。
Caiano Ferdinand,Ferdinando Caiano,Person,[Reconstruction] 名字倒装复原。
Caime,Caime (Artist/Person),Person,"[Check Original] 可能是 ""Caimi"" (Antonio Caimi, 艺术史家) 或误拼。"
Cain and Abel,Cain and Abel,Work,[Validation] 绘画主题 (提香/Tintoretto等)。
Calabrian national church,San Francesco di Paola ai Monti,Place,[Disambiguation] 罗马的卡拉布里亚人教堂。
Cambridgeshire,Cambridgeshire,Place,[Validation] 地名。
"Camerata, Giuseppe",Giuseppe Camerata,Person,[Validation] 威尼斯画家/版画家。
"Camerino, Giovanni Angelo da",Giovanni Angelo da Camerino,Person,[Validation] 画家。
Camille Delivers the Schoolmaster of Falerii to His Pupils,Camille Delivers the Schoolmaster of Falerii to His Pupils,Work,[Validation] 普桑画作。
Camillo Astalli,Camillo Astalli,Person,[Validation] 枢机主教。
Camillo Borghese,Paul V (Camillo Borghese),Person,[Disambiguation] 教皇保罗五世。
Camillo Francesco Maria Pamphili,Camillo Francesco Maria Pamphili,Person,[Validation] 枢机/亲王。
Camillo Gavassetti,Camillo Gavassetti,Person,[Validation] 莫德纳画家。
Camillo Rospigliosi,Camillo Rospigliosi,Person,[Validation] 贵族 (Rospigliosi家族)。
Campagna,Campagna (Countryside) / Girolamo Campagna,Place/Person,"[Ambiguity] ""Campagna"" 通常指罗马郊区 (Roman Campagna)，但也可能是威尼斯雕塑家 Girolamo Campagna。需视上下文。若在 Place 列，则为地名。"
Campania,Campania,Place,[Validation] 意大利大区。
Campo Marzio,Campo Marzio,Place,[Validation] 罗马区域 (Campus Martius)。
Campo Santa Sofia,Campo Santa Sofia,Place,[Validation] 威尼斯广场。
Campo di Rialto,Campo di Rialto,Place,[Validation] 威尼斯广场。
Campo santo,Camposanto,Place,[Validation] 墓地。
"Canal, Gerolamo",Gerolamo Canal,Person,[Validation] 威尼斯贵族。
"Canale, Procuratore",Procuratore Canale,Person,[Validation] 官衔+姓氏。
Canaletto,Canaletto,Person,[Validation] 著名画家。
Candiani,Candiani (Family/Artist),Person,[Context] 可能是 Giuseppe Candiani (画家) 或家族。
Cannaregio,Cannaregio,Place,[Validation] 威尼斯区域。
Canons (Duke of Chandos),Cannons (House),Place,"[OCR Fix] ""Canons"" -> ""Cannons"" (Chandos公爵的豪宅)。"
Canons Ashby House,Canons Ashby House,Place,[Validation] 英国庄园。
Canossa,Canossa,Place,[Validation] 地名 (Matilda of Tuscany)。
Capitol Records,Capitol Records,Organization/Place,"[Context] 现代唱片公司 (可能是现代索引混入或 OCR 错误识别 ""Capitol"" 罗马相关词条)。若是古代背景，则是错误。若是现代引用，保留。建议检查是否为 ""Capitol (Rome)"" 的误读。倾向于 OCR 错误，但暂保留。"
Capitoline Museums,Capitoline Museums,Place,[Validation] 罗马博物馆。
Cappella Colleoni,Cappella Colleoni,Place,[Validation] 贝加莫礼拜堂。
Cappella della Purità,Cappella della Purità,Place,[Validation]那不勒斯礼拜堂。
"Caprara, Marshal",Enea Silvio Caprara,Person,[Disambiguation] 奥地利元帅。
Caprizi Copiosi di Figure,Capricci Copiosi di Figure,Work,"[OCR Fix] ""Caprizi"" -> ""Capricci""。"
Capuchin church in Rome,Santa Maria della Concezione dei Cappuccini,Place,[Disambiguation] 罗马嘉布遣会教堂。
Capuchins,Capuchins,Group,[Validation] 嘉布遣会。
"Caraboli, Giacomo",Giacomo Caraboli,Person,"[Reconstruction] 可能是 ""Giacomo Ceruti"" 的误读，或者极生僻人物。"
"Carandini, Count Camillo",Camillo Carandini,Person,[Validation] 贵族。
"Carandini, Marchesa Elisa",Elisa Carandini,Person,[Category Fix] 原文误标为 Work。
"Caravaggio, Michelangelo da",Caravaggio,Person,[Disambiguation] 卡拉瓦乔。
Carcassonne,Carcassonne,Place,[Validation] 地名。
Cardinal Antonio Barberini,Antonio Barberini,Person,[Category Fix] 原文误标为 Work。
Cardinal Bentivoglio,Guido Bentivoglio,Person,[Category Fix] 原文误标为 Work。通常指 Guido Bentivoglio 枢机 (凡戴克肖像)。
Cardinal Francesco Barberini,Francesco Barberini,Person,[Category Fix] 原文误标为 Work。
Cardinal Mazarin in His Gallery,Cardinal Mazarin in His Gallery,Work,[Validation] 绘画主题。
Cardinal Scipione Borghese,Scipione Borghese,Person,[Category Fix] 原文误标为 Work。
Caricature of Cassiano dal Pozzo,Caricature of Cassiano dal Pozzo,Work,[Validation] 绘画/素描。
Carinthia,Carinthia,Place,[Validation] 地名。
Carita,Scuola Grande dei Carmini / Carità?,Place,"[Ambiguity] ""Carita"" 可能是 ""Santa Maria della Carità"" (威尼斯学院美术馆前身)。"
Carita Romana,Roman Charity (Caritas Romana),Work,[Disambiguation] 罗马慈悲 (绘画主题)。
Carità,Santa Maria della Carità,Place,[Validation] 威尼斯建筑。
Carl Bildt,Carl Bildt,Person,[Context] 现代瑞典政治家 (可能出现在参考文献或赞助名单中)。
Carl Gustaf Tessin,Carl Gustaf Tessin,Person,[Validation] 瑞典外交官/收藏家。
Carl XII,Charles XII of Sweden,Person,[Disambiguation] 瑞典国王查理十二世。
Carlantonio Pilati,Carlantonio Pilati,Person,[Validation] 启蒙时代法学家/历史学家。
"Carlisle, Earl of",Earl of Carlisle,Person,[Validation] 英国贵族头衔。
Carlo Ademollo,Carlo Ademollo,Person,[Validation] 19世纪画家。
Carlo Antonio Marin,Carlo Antonio Marin,Person,[Validation] 威尼斯历史学家。
Carlo Antonio Rambaldi,Carlo Antonio Rambaldi,Person,[Validation] 博洛尼亚画家。
Carlo Antonio dal Pozzo,Carlo Antonio dal Pozzo,Person,[Validation] 卡西亚诺·达尔·波佐的弟弟/收藏家。
Carlo Baccinelli,Carlo Baccinelli,Person,[Validation] 人物。
Carlo Barberini,Carlo Barberini,Person,[Validation] 枢机主教。
Carlo Bricarelli,Carlo Bricarelli,Person,[Validation] 建筑师/学者。
Carlo Camillo II Massimo,Carlo Camillo II Massimo,Person,[Validation] 贵族。
Carlo Carlone,Carlo Carlone,Person,[Validation] 画家。
Carlo Ceresa,Carlo Ceresa,Person,[Validation] 贝加莫肖像画家。
Carlo Cesare Malvasia,Carlo Cesare Malvasia,Person,[Validation] 博洛尼亚艺术传记作家 (Felsina Pittrice)。
Carlo Cignani,Carlo Cignani,Person,[Validation] 博洛尼亚画家。
Carlo Cordellina,Carlo Cordellina,Person,[Validation] 威尼斯律师/别墅主人 (Villa Cordellina)。
Carlo Denina,Carlo Denina,Person,[Validation] 历史学家。
Carlo Dolci,Carlo Dolci,Person,[Validation] 佛罗伦萨画家。
Carlo Emanuele I,"Charles Emmanuel I, Duke of Savoy",Person,[Disambiguation] 萨伏伊公爵。
Carlo Fontana,Carlo Fontana,Person,[Validation] 罗马建筑师。
Carlo Galassi Paluzzi,Carlo Galassi Paluzzi,Person,[Validation] 罗马研究学者。
Carlo Giuseppe Ratti,Carlo Giuseppe Ratti,Person,[Validation] 热那亚传记作家。
Carlo Goldoni,Carlo Goldoni,Person,[Validation] 剧作家。
Carlo Gozzi,Carlo Gozzi,Person,[Validation] 剧作家。
Carlo Grimaldo,Carlo Grimaldi,Person,"[OCR Fix] ""Grimaldo"" -> ""Grimaldi"" (可能是乐器制造师或外交官)。"
