Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Dominique Vivant,"Dominique Vivant, Baron Denon",Person,[Full Name] 卢浮宫首任馆长/艺术家。
Don Cesare Leopardi d`Osimo,Cesare Leopardi,Person,[Validation] 奥西莫贵族。
Don Fabrizio Valguarnera,Fabrizio Valguarnera,Person,[Validation] 17世纪西西里贵族/收藏家 (宝石/画作)。
Don Giovanni Domenico Brustoloni,Giovanni Domenico Brustoloni,Person,[Reconstruction] 威尼斯版画家 (无需 Don)。
Don Urbano Barberini-Colonna di Sciarradi Carbognano,Urbano Barberini (Prince of Palestrina),Person,[Reconstruction] 名字过长且粘连，应简化为主要头衔。
Donald Posner,Donald Posner,Person,[Validation] 艺术史学家。
Donato Creti,Donato Creti,Person,[Validation] 博洛尼亚画家。
Dora Coggiola,Dora Coggiola,Person,[Validation] 图书馆员/艺术作者 (20世纪)。
"Dorigny, Louis",Louis Dorigny,Person,[Validation] 法国画家 (主要在意大利)。
Dosso Dossi,Dosso Dossi,Person,[Validation] 费拉拉画家。
"Douglas, Hamilton, Marquis of","Douglas Hamilton, 8th Duke of Hamilton",Person,[Disambiguation] 汉密尔顿公爵。
Drawings of Sagredo Family Members,Drawings of Sagredo Family Members,Work,[Validation] 素描集。
Dream of St Joseph,Dream of St Joseph,Work,[Validation] 绘画主题。
Dresden,Dresden,Place,[Validation] 城市。
Drunken Silenus,Drunken Silenus,Work,[Validation] 绘画主题 (Rubens/Van Dyck)。
"Dubois, Ambrose",Ambroise Dubois,Person,[Reconstruction] 枫丹白露画派画家。
Duel between Aeneas and Mezentius,Duel between Aeneas and Mezentius,Work,[Validation] 绘画主题。
"Dughet, Gaspard (Gaspard Poussin)",Gaspard Dughet,Person,[Validation] 风景画家。
Duplex Intercessio,Duplex Intercessio,Work/Concept,[Validation] 双重代祷 (绘画神学主题)。
"Duquesnoy, François",François Duquesnoy,Person,[Validation] 佛兰芒雕塑家。
"Durazzo, Marchese Girolamo",Girolamo Durazzo,Person,[Category Fix] 原文误标为 Work。热那亚总督/贵族。
Dusseldorf,Düsseldorf,Place,[Validation] 城市。
Dutch artists,Dutch artists,Group,[Validation] 艺术家群体。
Dux,Dux (Duchcov),Place,[Validation] 捷克地名 (卡萨诺瓦晚年居住地)。
"Duyvelant, Jacques",Jacques Duyvelant,Person,[Validation] 17世纪佛兰芒画家 (Antwerp)。
Ecstasy of Saint Teresa,Ecstasy of Saint Teresa,Work,[Validation] 贝尼尼雕塑。
Edgar Wind,Edgar Wind,Person,[Validation] 艺术史学家。
Edgar de Vaes,Edgar de Vaes,Person,[Check Original] 可能是人名或拼写错误。
Edgwareand,Edgware,Place,"[OCR Fix] ""Edgwareand"" -> ""Edgware"" (London)。"
Edmond Bonnaffé,Edmond Bonnaffé,Person,[Validation] 法国收藏家/艺术写作者。
Edoardo Lombardo,Edoardo Lombardo,Person,[Validation] 现代学者 (威尼斯史)。
Education of the Virgin,Education of the Virgin,Work,[Validation] 绘画主题。
Edward Coke,Edward Coke (1758-1837),Person,"[Disambiguation] 可能是 Thomas Coke 的儿子或著名的法学家 (Sir Edward Coke, 早期)。结合上下文通常指 18世纪 Grand Tour 人物。"
Edward Croft Murray,Edward Croft-Murray,Person,[Validation] 大英博物馆策展人。
Edward Gibbon,Edward Gibbon,Person,[Validation] 历史学家。
Edward Poore,Edward Poore,Person,[Validation] 英国旅行者/日记作者。
Edward Wright,Edward Wright,Person,[Validation] 英国旅行作家 (Some Observations made in Travelling...)。
Edward Young,Edward Young,Person,[Validation] 诗人 (Night Thoughts)。
"Effetti, Antonio degli",Antonio degli Effetti,Person,[Reconstruction] 罗马贵族/收藏家。
El Escorial,El Escorial,Place,[Validation] 西班牙修道院/皇宫。
Elena Bassi,Elena Bassi,Person,[Validation] 艺术史学家 (Canova/Venice)。
Elena Crinò,Elena Crinò,Person,[Validation] 学者 (现代)。
Eleonora Zambeccari,Eleonora Zambeccari,Person,[Validation] 博洛尼亚贵族。
Elijah,Elijah,Person,[Validation] 先知。
Elijah carried to Heaven in a Chariot of Fire,Elijah Taken Up in a Chariot of Fire,Work,[Validation] 绘画主题。
Elisabeth Dhanens,Elisabeth Dhanens,Person,[Validation] 艺术史学家 (Van Eyck专家)。
Elizabeth Du Gue Trapier,Elizabeth Du Gué Trapier,Person,[Validation] 艺术史学家 (Hispanic Society)。
Elizabeth Felton,"Elizabeth Felton, Countess of Bristol",Person,[Disambiguation] 赫维勋爵的妻子。
