Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Cyril James Humphries Davenport,Cyril Davenport,Person,[Validation] 英国艺术作家/图书管理员。
Dadie Rylands,"George ""Dadie"" Rylands",Person,[Validation] 英国戏剧导演/学者 (Cambridge)。
Dalmatia,Dalmatia,Place,[Validation] 达尔马提亚 (威尼斯领地)。
Damaso,San Damaso,Place,[Disambiguation] 可能是 San Damaso 教堂或 Cortile di San Damaso (梵蒂冈)。
Danae,Danaë,Work,[Validation] 绘画主题 (提香/伦勃朗等)。
Dance of Nymphs,Dance of Nymphs,Work,[Validation] 绘画主题。
Daniel Pickering Walker,D. P. Walker,Person,[Validation] 历史学家 (Warburg Institute)。
Daniele Beltrami,Daniele Beltrami,Person,[Validation] 威尼斯经济史学家。
Daniele Concina,Daniele Concina,Person,[Validation] 多明我会神学家。
Daniele Dolfin,Daniele Dolfin,Person,"[Validation] 威尼斯贵族/枢机主教 (需区分 Daniele II, III, IV)。"
Daniele Dolfin IV,Daniele Dolfin IV,Person,[Validation] 威尼斯贵族/大使。
Daniele Florio,Daniele Florio,Person,[Validation] 乌迪内诗人。
Daniello Bartoli,Daniello Bartoli,Person,[Validation] 耶稣会作家/历史学家。
Dante,Dante Alighieri,Person,[Validation] 但丁。
Dante Alighieri,Dante Alighieri,Person,[Validation] 但丁。
Daphne and Apollo,Apollo and Daphne,Work,[Validation] 绘画/雕塑主题。
Daphnis,Daphnis,Person (Myth),[Validation] 神话人物。
Daphnis and Chloe,Daphnis and Chloe,Work,[Category Fix] 原文误标为 Concept。朗格斯的小说或绘画主题。
"Dartmouth, Lord",Earl of Dartmouth,Person,[Validation] 英国贵族。
"Dati, Carlo",Carlo Roberto Dati,Person,[Validation] 佛罗伦萨学者。
"Daun, Count",Wirich Philipp von Daun / Leopold Joseph von Daun,Person,[Disambiguation] 奥地利元帅。
David,David,Person/Work,[Ambiguity] 圣经人物大卫，或米开朗基罗/贝尼尼雕塑。根据 E22 标记，应为 Work (雕塑/画作)。
David Teniers the Younger,David Teniers the Younger,Person,[Validation] 佛兰芒画家。
David de Haen,David de Haen,Person,[Validation] 荷兰画家 (Caravaggisti)。
David with the head of Goliath,David with the Head of Goliath,Work,[Validation] 绘画主题 (卡拉瓦乔等)。
Death,Death,Concept/Person (Allegory),[Validation] 寓意人物或概念。
Death of Abel,Death of Abel,Work,[Validation] 绘画主题。
Death of Cleopatra,Death of Cleopatra,Work,[Validation] 绘画主题。
Death of Dido,Death of Dido,Work,[Validation] 绘画主题。
