Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Apelles,Apelles,Person,[Validation] 古希腊画家。
Apollo,Apollo,Person (Myth),[Validation] 神话人物。
Apollo Chasing Daphne,Apollo and Daphne,Work,[Validation] 绘画/雕塑主题。
Apollo and the Muses,Apollo and the Muses,Work,[Validation] 绘画主题。
Apollo conducting Frederick Barbarossa's bride: Beatrice of Burgundy,Apollo conducting Frederick Barbarossa's bride,Work,[Validation] 提埃坡罗壁画 (维尔茨堡)。
Apollo flaying Marsyas,Apollo flaying Marsyas,Work,[Validation] 绘画主题。
Apostles,The Apostles,Group/Work,[Validation] 12使徒（或描绘使徒的作品）。
Apostolic Chamber of Commerc,Apostolic Chamber (Camera Apostolica),Organization,"[OCR Fix] ""Chamber of Commerc"" 明显错误，应为教廷财务机构。"
Apostolic Palace,Apostolic Palace,Place,[Validation] 梵蒂冈宗座宫。
Apostolo Zeno,Apostolo Zeno,Person,[Validation] 威尼斯诗人/剧作家。
Apotheosis of Aeneas,Apotheosis of Aeneas,Work,[Validation] 绘画主题。
Apotheosis of the Medici,Apotheosis of the Medici,Work,[Validation] 卢卡·乔尔达诺壁画。
Apotheosis of the Pisani,Apotheosis of the Pisani Family,Work,[Validation] 提埃坡罗壁画 (Villa Pisani)。
"Aquaviva, Claudio",Claudio Acquaviva,Person,[Reconstruction] 耶稣会总会长。
"Arcadia, Society of",Accademia dell'Arcadia,Group,[Disambiguation] 阿卡迪亚学院。
Arcangelo Corelli,Arcangelo Corelli,Person,[Validation] 作曲家。
Arch. del Gov. di Roma,Archivio del Governatorato di Roma,Place/Organization,[Abbreviation] 罗马总督府档案馆。
Archangel Michael defeats Satan,St. Michael Vanquishing Satan,Work,[Validation] 绘画主题 (Guido Reni等)。
Archbasilica of St. John Lateran,Archbasilica of Saint John Lateran,Place,[Validation] 拉特朗圣若望大殿。
Archduke Leopold Wilhelm of Austria,Archduke Leopold Wilhelm of Austria,Person,[Validation] 著名艺术收藏家。
Archiepiscopal palace,Archiepiscopal Palace,Place,[Validation] 主教宫。
Archiginnasio,Archiginnasio of Bologna,Place,[Validation] 博洛尼亚大学旧址。
Archives nationales,Archives Nationales (France),Place/Organization,[Validation] 法国国家档案馆。
Archivio Comunale,Archivio Comunale,Place,[Validation] 市政档案馆 (需结合上下文，通常指罗马或威尼斯)。
Archivio Comunale di Treviso,Archivio Comunale di Treviso,Place,[Validation] 特雷维索市政档案馆。
Archivio Mediceo,Archivio Mediceo del Principato,Place,[Validation] 美第奇家族档案。
Archivio Storico per la Province Napoletane,Archivio Storico per le Province Napoletane,Work,[Correction] 期刊名 (Journal)，非地点。
Archivio di Stato,Archivio di Stato,Place,[Validation] 国家档案馆 (通用)。
Archivio di Stato di Venezia,Archivio di Stato di Venezia,Place,[Validation] 威尼斯国家档案馆。
Archivio storico capitolino,Archivio Storico Capitolino,Place,[Validation] 罗马卡比托利欧档案馆。
Archiviodella Compagnia di Gesù,Archivio della Compagnia di Gesù,Place/Organization,[OCR Fix] 单词粘连修复。
"Arconato, Galeazzo",Galeazzo Arconati,Person,[Reconstruction] 米兰收藏家 (达芬奇手稿)。
Arena Chapel,Scrovegni Chapel (Arena Chapel),Place,[Disambiguation] 帕多瓦斯克罗威尼礼拜堂。
Argus guarding,Argus Panoptes,Person (Myth),[Disambiguation] 神话人物（通常出现在 Io 故事中）。
Ariadne being woken by Love,Ariadne being woken by Love,Work,[Validation] 绘画主题。
Ariccia,Ariccia,Place,[Validation] 罗马附近城镇 (Chigi家族领地)。
Ariosto,Ludovico Ariosto,Person,[Disambiguation] 诗人 (疯狂的奥兰多)。
Aristotle,Aristotle,Person,[Validation] 哲学家。
Aristotle with a Bust of Homer,Aristotle with a Bust of Homer,Work,[Validation] 伦勃朗画作。
Arlington Street,Arlington Street,Place,[Validation] 伦敦街道 (Walpole住所)。
"Arlington, Lord","Henry Bennet, 1st Earl of Arlington",Person,[Disambiguation] 阿灵顿伯爵。
Armand Baschet,Armand Baschet,Person,[Validation] 法国档案学家 (威尼斯外交档案)。
Armand Jean du Plessis,Cardinal Richelieu,Person,[Disambiguation] 黎塞留枢机。
"Armanni, G. A.",Giovanni Andrea Armanni,Person,[Full Name] 19世纪教皇国官员/学者 (Gubbio)。
Armenian College,Armenian College (Rome/Venice),Place,[Validation] 亚美尼亚学院。
Arnaldi Lodovico,Enea Arnaldi / Lodovico Arnaldi?,Person,"[Check] 可能是 ""Enea Arnaldi"" (维琴察学者) 或 ""Lodovico Arnaldi"" (贵族)。待定为 Lodovico Arnaldi。"
Arnauld Brejon de Lavergnée,Arnauld Brejon de Lavergnée,Person,[Validation] 现代艺术史学家。
Arnold Hauser,Arnold Hauser,Person,[Validation] 艺术社会史学家。
"Arpino, Cavaliere d'",Giuseppe Cesari (Cavaliere d'Arpino),Person,[Disambiguation] 朱塞佩·切萨里。
"Arrighi-Landini, Orazio",Orazio Arrighi Landini,Person,[Reconstruction] 18世纪作家/翻译家。
Arrighini,Arrighini (Family/Artist),Person,"[Context] 可能是 ""Arrighini"" 家族或特定艺术家。"
Arrival of the French Ambassador in Venice,Arrival of the French Ambassador in Venice,Work,[Validation] 卡纳莱托画作。
Art Institute of Chicago,Art Institute of Chicago,Place/Organization,[Validation] 芝加哥艺术博物馆。
Art Institute of Chicago Robert A. Waller Fund,Art Institute of Chicago,Organization,[Refinement] 博物馆基金。
Art Institute of Chicago. Museum Studies,Museum Studies,Work,[Validation] 期刊名。
Art dealers,Art dealers,Group,[Validation] 职业群体。
Art exhibitions,Art exhibitions,Event,[Validation] 概念/事件。
