Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Jan Weenix,Jan Weenix,Person,[Validation] 荷兰静物/风景画家。
Jan van den Eynde,Jan van den Eynde,Person,[Validation] 那不勒斯佛兰芒商人/收藏家 (Ferdinand van den Eynde的兄弟/亲戚)。
Jan van den Hecke,Jan van den Hecke,Person,[Validation] 佛兰芒画家。
Jane Costello,Jane Costello,Person,[Validation] 艺术史学家。
Jean Alazard,Jean Alazard,Person,[Validation] 艺术史学家。
Jean Antoine Watteau,Jean-Antoine Watteau,Person,[Validation] 法国画家。
Jean Armand de Blainville,Monsieur de Blainville,Person,[Disambiguation] 旅行记作者 (可能化名)。
Jean Baptiste Bouchardon,Jean-Baptiste Bouchardon,Person,[Validation] 雕塑家 (Edmé的父亲)。
Jean Baptiste Vanmour,Jean-Baptiste Vanmour,Person,[Validation] 法国画家 (东方主义)。
Jean Dughet,Jean Dughet,Person,[Validation] 普桑的内弟/版画家。
Jean Huber,Jean Huber,Person,[Validation] 瑞士画家 (Voltaire肖像)。
Jean Jacques Rousseau,Jean-Jacques Rousseau,Person,[Validation] 哲学家。
Jean Léon Marie Delumeau,Jean Delumeau,Person,[Validation] 历史学家。
Jean-Antoine Houdon,Jean-Antoine Houdon,Person,[Validation] 新古典主义雕塑家。
Jean-Antoine Nollet,Jean-Antoine Nollet,Person,[Validation] 物理学家 (Abbé Nollet)。
Jean-Baptiste Colbert,Jean-Baptiste Colbert,Person,[Validation] 路易十四的大臣。
Jean-Baptiste Théodon,Jean-Baptiste Théodon,Person,[Validation] 法国雕塑家。
Jean-Baptiste-Siméon Chardin,Jean-Baptiste-Siméon Chardin,Person,[Validation] 法国画家。
Jean-Fran?ois Millet,Jean-François Millet,Person,"[OCR Fix] ""?"" -> ""ç""。"
Jean-Fran?ois de La Harpe,Jean-François de La Harpe,Person,"[OCR Fix] ""?"" -> ""ç""。"
Jean-Fran?ois de Troy,Jean-François de Troy,Person,"[OCR Fix] ""?"" -> ""ç""。"
Jean-Honoré Fragonard,Jean-Honoré Fragonard,Person,[Validation] 法国画家。
Jean-Hugues Taraval,Jean-Hugues Taraval,Person,[Validation] 法国画家。
Jean-Jacques Bouchard,Jean-Jacques Bouchard,Person,[Validation] 17世纪法国日记作者 (罗马生活)。
Jeffrey Daniels,Jeffrey Daniels,Person,[Validation] 艺术史学家 (Sebastiano Ricci)。
Jennifer Ellis Rachel Montagu,Jennifer Montagu,Person,[Validation] 艺术史学家。
Jenny Adam,Jenny Adam,Person,[Check Original] 可能是 Robert Adam 的妹妹 Janet (Jenny)?
Jeremiah,Jeremiah,Person,[Validation] 先知。
Jerome Bankes,Jerome Bankes,Person,[Validation] 英国旅行者/赞助人。
Jerome Bankes (1635/36-1686),Jerome Bankes,Person,[Category Fix] 原文误标为 Man-Made Object。
Jeroni Nadal,Jerónimo Nadal,Person,[Validation] 耶稣会士 (Nadal's Gospel Illustrations)。
Jesuit Archives,Jesuit Archives,Place/Organization,[Validation] 档案机构。
Jesuit church,Jesuit Church,Place,[Validation] 泛指或特指 (Gesù)。
Jesuit school,Jesuit School,Place,[Validation] 学校。
Jesuits,Jesuits,Group,[Validation] 耶稣会。
Jesus,Jesus Christ,Person,[Validation] 耶稣。
Jesus Church,Church of the Gesù,Place,[Disambiguation] 耶稣会教堂。
Joachim Joseph Berthier,Joachim-Joseph Berthier,Person,[Validation] 多明我会历史学家。
Joachim von Derschau,Hans Albrecht von Derschau?,Person,"[Check] ""Joachim von Derschau"" 可能是指普鲁士收藏家 Hans Albrecht von Derschau? 或者 Joachim von Sandrart 的亲戚? 搜索指向 19世纪收藏家 Hans Albrecht von Derschau。"
Joachim von Sandrart,Joachim von Sandrart,Person,[Validation] 德国画家/传记作家 (Teutsche Academie)。
Job,Job,Person,[Validation] 圣经人物。
Job and Wife and Isaac blessing Jacob,Job and his Wife / Isaac Blessing Jacob,Work,[Split Required] 两个不同的圣经主题，可能是同一作品集中列出。
Johann Balthasar Neumann,Balthasar Neumann,Person,[Validation] 德国巴洛克建筑师。
Johann Bernhard Fischer von Erlach,Johann Bernhard Fischer von Erlach,Person,[Validation] 奥地利建筑师。
Johann Carl Loth,Johann Carl Loth (Carlotto),Person,[Validation] 威尼斯画家 (德国裔)。
Johann Caspar Goethe,Johann Caspar Goethe,Person,[Validation] 歌德的父亲 (旅行日记)。
Johann Christian Brand,Johann Christian Brand,Person,[Validation] 奥地利画家。
Johann Christoph Pepusch,Johann Christoph Pepusch,Person,[Validation] 作曲家。
Johann Christoph Storer,Johann Christoph Storer,Person,[Validation] 画家。
Johann Georg III of Saxony,"Johann Georg III, Elector of Saxony",Person,[Validation] 萨克森选帝侯。
Johann Georg Key?ler,Johann Georg Keyssler,Person,"[OCR Fix] ""?"" -> ""ss"" or ""ß""。旅行作家。"
Johann Georg Zimmermann,Johann Georg Zimmermann,Person,[Validation] 瑞士作家/医生。
"Johann II, Prince of Liechtenstein","Johann II, Prince of Liechtenstein",Person,[Validation] 列支敦士登亲王 (19世纪/20世纪初，作为收藏家)。
Johann Joachim Winckelmann,Johann Joachim Winckelmann,Person,[Validation] 艺术史之父。
Johann Lukas von Hildebrandt,Johann Lukas von Hildebrandt,Person,[Validation] 建筑师。
Johann Matthias von der Schulenburg,Johann Matthias von der Schulenburg,Person,[Validation] 陆军元帅/威尼斯收藏家。
Johann Philipp Franz von Sch?nborn,Johann Philipp Franz von Schönborn,Person,"[OCR Fix] ""?"" -> ""ö""。维尔茨堡采邑主教。"
Johann Wilhelm,"Johann Wilhelm, Elector Palatinate",Person,[Disambiguation] 普法尔茨选帝侯。
"Johann Wilhelm, Elector Palatinate","Johann Wilhelm, Elector Palatinate",Person,[Validation] 同上。
Johann Zacharias Platner,Johann Zacharias Platner,Person,[Validation] 莱比锡医生/收藏家? 或者是 Johann Zacharias Platner (考古学家/罗马描述者)? 指 Zacharias Platner (17世纪)? 实际上是 Giovanni Zaccaria Platner (Zacharias Platner) 也是画家。但更可能是 Ernst Zacharias Platner (画家/作家)? 搜索显示 Johann Zacharias Platner 是著名的莱比锡解剖学家。在艺术语境下，可能是指他在罗马的活动或收藏。
Johannes Albertus Franciscus Orbaan,J. A. F. Orbaan,Person,[Validation] 艺术史学家 (Sixtine Rome)。
Johannes Vermeer,Johannes Vermeer,Person,[Validation] 维米尔。
Johannes Wilde,Johannes Wilde,Person,[Validation] 艺术史学家 (Michelangelo/Venetian art)。
John Bryan Shipley,John B. Shipley,Person,[Validation] 学者。
John Bryson,John Bryson,Person,[Validation] 收藏家 (Ashmolean bequest)。
John Buonarotti Papworth,John Buonarotti Papworth,Person,[Validation] 英国建筑师。
John Byam Lister Shaw,James Byam Shaw,Person,[Correction] 可能是混淆了 John Byam Shaw (画家) 和 James Byam Shaw (艺术史学家)。上下文多为艺术史，James Byam Shaw 是威尼斯画派素描专家。
"John Cecil, 5th Earl of Exeter","John Cecil, 5th Earl of Exeter",Person,[Validation] 伯利勋爵/大旅行者。
"John Cecil, 6th Earl of Exeter","John Cecil, 6th Earl of Exeter",Person,[Validation] 伯利勋爵。
John Charlton,John Charlton,Person,[Validation] 艺术史学家/Banquetting House专家。
John Chrysostom,Saint John Chrysostom,Person,[Validation] 圣金口约翰。
