Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Alessandro Vittrici,Alessandro Vittrici,Person,[Disambiguation] 罗马主教/副总管 (Vicegerent)。
Alessandro Zen,Alessandro Zen,Person,[Validation] 威尼斯贵族。
Alessandro de' Medici,Alessandro de' Medici (Duke of Florence),Person,[Disambiguation] 佛罗伦萨公爵。
"Alexander Hamilton, 10th Duke of Hamilton","Alexander Hamilton, 10th Duke of Hamilton",Person,[Full Name] 著名收藏家。
Alexander III,Alexander III (Pope),Person,[Disambiguation] 教皇亚历山大三世（常见于威尼斯历史画）。
Alexander Sauli,Alexander Sauli,Person,[Validation] 圣徒 (St. Alexander Sauli)。
Alexander the Great,Alexander the Great,Person,[Validation] 历史人物。
Alfonso Gesualdo,Alfonso Gesualdo,Person,[Validation] 枢机主教。
Alfonso I d'Este,Alfonso I d'Este,Person,[Validation] 费拉拉公爵。
Alfonso Pérez Sánchez,Alfonso E. Pérez Sánchez,Person,[Full Name] 艺术史学家 (普拉多博物馆馆长)。
Alfred Sensier,Alfred Sensier,Person,[Validation] 艺术评论家/传记作家。
Alfredo Bardella,Alfredo Bardella,Person,[Validation] 人物。
"Algarotti, Bonomo",Bonomo Algarotti,Person,[Reconstruction] 名字倒装复原。Francesco Algarotti 的父亲。
Alice Binion,Alice Binion,Person,[Validation] 艺术史学家 (威尼斯画派专家)。
Allan Hume,Allan Hume,Person,[Validation] 人物 (可能是收藏家或 Grand Tour 旅行者)。
Allegory of Clemency,Allegory of Clemency,Work,[Validation] 寓意画主题。
Allegory of Coral fishing,Allegory of Coral fishing,Work,[Validation] 雅格布·祖奇 (Jacopo Zucchi) 画作。
Allegory of Divine Providence and Barberini Power,Allegory of Divine Providence and Barberini Power,Work,[Validation] 皮耶特罗·达·科尔托纳壁画。
Allegory of Divine Wisdom,Allegory of Divine Wisdom,Work,[Validation] 安德烈亚·萨基壁画。
Allegory of Fortune,Allegory of Fortune,Work,[Validation] 寓意画主题。
Allegory of Rome,Allegory of Rome,Work,[Validation] 寓意画主题。
Allegory of Venice,Allegory of Venice,Work,[Validation] 寓意画主题。
Allegory of the Arts,Allegory of the Arts,Work,[Validation] 寓意画主题。
Allegory of the Education of the Crown Prince of the Palatinate,Allegory of the Education of the Crown Prince,Work,[Validation] 寓意画主题。
Aloysius Gonzaga,Aloysius Gonzaga,Person,[Validation] 圣路易吉·公撒格。
Alps,Alps,Place,[Validation] 地名。
Altar Paintings for the Parish Church of San Canciano,Altar Paintings (San Canciano),Work,[Validation] 祭坛画组。
Altar of Friendship,Altar of Friendship,Work,[Validation] 纪念碑/画作主题。
Altar of Tranquility and Rural Life,Altar of Tranquility and Rural Life,Work,[Validation] 纪念碑/画作主题。
Altar of Wealth and Apollo,Altar of Wealth and Apollo,Work,[Validation] 纪念碑/画作主题。
Altarpiece for Chiesa Nuova,Altarpiece for Chiesa Nuova,Work,[Validation] 祭坛画（可能是鲁本斯）。
Altarpiece for Santa Maria dei Cappuccini,Altarpiece for Santa Maria dei Cappuccini,Work,[Validation] 祭坛画。
Altarpiece for St. Sebastian,Altarpiece for St. Sebastian,Work,[Validation] 祭坛画。
Altarpiece for the Augustinian Church,Altarpiece for the Augustinian Church,Work,[Validation] 祭坛画。
Altarpieces for the Royal Chapel,Altarpieces for the Royal Chapel,Work,[Validation] 祭坛画组。
Alte Pinakothek,Alte Pinakothek,Place,[Validation] 慕尼黑老绘画陈列馆。
Altero Matteoli,Altero Matteoli,Person,[Context] 现代意大利政治家/部长（可能出现在参考文献中）。
Alticchiero (Querini villa),Villa Altichiero,Place,[Validation] 威尼斯Querini家族别墅。
Altieri,Altieri (Family),Person/Group,[Category Fix] 误标为 Place。指家族或 Palazzo。
Altieri palace,Palazzo Altieri,Place,[Validation] 罗马宫殿。
"Altieri, Don Gasparo",Gasparo Altieri,Person,[Reconstruction] 名字倒装复原。
"Altieri, Emilio (Pope Clement X)",Clement X,Person,[Disambiguation] 教皇克莱门特十世。
Alvise Mocenigo,Alvise Mocenigo,Person,[Validation] 威尼斯总督/贵族（需具体上下文区分几世）。
Alvise Pisani,Alvise Pisani,Person,[Validation] 威尼斯总督/贵族。
Amadeo Swajer,Amadeo Svajer,Person,[OCR Fix/Standardization] 威尼斯收藏家 (Svajer)。
Amalfi,Amalfi,Place,[Validation] 地名。
Amalia Mezzetti,Amalia Mezzetti,Person,[Validation] 艺术史学家。
Ambroise Dubois,Ambroise Dubois,Person,[Validation] 画家 (枫丹白露画派)。
"Amelot de la Houssaye, A. N.",Abraham Nicolas Amelot de la Houssaye,Person,[Reconstruction] 名字倒装复原。
Amico Ricci,Amico Ricci,Person,[Validation] 艺术史学家。
Amor Vincit Omnia,Amor Vincit Omnia,Work,[Validation] 卡拉瓦乔画作。
Amsterdam,Amsterdam,Place,[Validation] 地名。
Anatole de Montaiglon,Anatole de Montaiglon,Person,[Validation] 艺术史学家。
Andrea Brustolon,Andrea Brustolon,Person,[Validation] 威尼斯雕塑家。
Andrea Camassei,Andrea Camassei,Person,[Validation] 巴洛克画家。
Andrea Carlone,Andrea Carlone,Person,[Validation] 热那亚画家。
Andrea Celesti,Andrea Celesti,Person,[Validation] 威尼斯画家。
Andrea Doria,Andrea Doria,Person,[Validation] 热那亚海军上将。
Andrea Ferreri,Andrea Ferreri,Person,[Validation] 巴洛克雕塑家。
Andrea Gerini,Andrea Gerini,Person,[Validation] 佛罗伦萨贵族/收藏家。
Andrea Giacomo Podestà,Andrea Giacomo Podestà,Person,[Validation] 画家/版画家。
Andrea Locatelli,Andrea Locatelli,Person,[Validation] 罗马风景画家。
Andrea Mantegna,Andrea Mantegna,Person,[Validation] 文艺复兴画家。
Andrea Memmo,Andrea Memmo,Person,[Validation] 威尼斯政治家/作家。
Andrea Ottini,Andrea Ottini,Person,"[Check Original] 可能是 ""Pasquale Ottino"" 的误拼，或同名小众人物。"
Andrea Palladio,Andrea Palladio,Person,[Validation] 建筑师。
Andrea Pozzo,Andrea Pozzo,Person,[Validation] 耶稣会画家/建筑师。
Andrea Procaccini,Andrea Procaccini,Person,[Validation] 画家。
Andrea Querini,Andrea Querini,Person,[Validation] 威尼斯贵族。
Andrea Sacchi,Andrea Sacchi,Person,[Validation] 罗马巴洛克画家。
Andrea Schiavone,Andrea Schiavone,Person,[Validation] 威尼斯画家。
Andrea Tessier,Andrea Tessier,Person,[Validation] 19世纪威尼斯档案学家。
Andrea Toresani,Andrea Toresani,Person,[Validation] 人物。
Andrea Tron,Andrea Tron,Person,[Validation] 威尼斯政治家。
Andrea Vaccaro,Andrea Vaccaro,Person,[Validation] 那不勒斯画家。
Andrea Zucchi,Andrea Zucchi,Person,[Validation] 版画家。
Andrea del Rosso,Andrea del Rosso,Person,[Validation] 佛罗伦萨收藏家。
Andrea del Sarto,Andrea del Sarto,Person,[Validation] 画家。
Andreas Scherber,Andreas Scherber,Person,[Validation] 人物。
Andreina Griseri,Andreina Griseri,Person,[Validation] 艺术史学家。
Andrew Fountaine,Andrew Fountaine,Person,[Validation] 英国收藏家。
Andrew the Apostle,Saint Andrew,Person,[Disambiguation] 圣安德烈。
Andromache weeping before Aeneas,Andromache weeping before Aeneas,Work,[Validation] 画作主题。
André Félibien,André Félibien,Person,[Validation] 法国宫廷史官/艺术理论家。
Andrés Marzo,Andrés Marzo,Person,[Validation] 西班牙巴洛克画家。
Angel with the Superscription,Angel with the Superscription,Work,[Validation] 圣天使桥雕塑 (贝尼尼)。
"Angeli, Filippo d' (Napoletano)",Filippo Napoletano,Person,[Disambiguation] 菲利波·那波列塔诺。
Angelica Griè,Angelica Griè,Person,[Check Original] 疑似 OCR 错误或极生僻人名。
Angelo Borzelli,Angelo Borzelli,Person,[Validation] 历史学家/文学评论家。
Angelo Calogerà,Angelo Calogerà,Person,[Validation] 本笃会修士/作家。
Angelo Caroselli,Angelo Caroselli,Person,[Validation] 罗马画家。
Angelo Cesi,Angelo Cesi,Person,[Validation] 主教 (Todi)。
Angelo Contarini,Angelo Contarini,Person,[Validation] 威尼斯贵族。
Angelo Crespi,Angelo Crespi,Person,[Validation] 人物。
Angelo Custode,Guardian Angel,Work/Concept,[Disambiguation] 守护天使（主题）。
Angelo Giori,Angelo Giori,Person,[Validation] 枢机主教 (贝尼尼赞助人)。
Angelo Maria Querini,Angelo Maria Querini,Person,[Validation] 枢机主教/学者。
Angelo Michele Colonna,Angelo Michele Colonna,Person,[Validation] 夸德拉图拉画家。
Angelo Pinetti,Angelo Pinetti,Person,[Validation] 艺术史学家。
Angelo Querini,Angelo Querini,Person,[Validation] 威尼斯贵族。
