Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
"Foggini, Giovan Battista",Giovanni Battista Foggini,Person,[Reconstruction] 佛罗伦萨雕塑家/建筑师。
Fondamenta Foscarini,Fondamenta Foscarini,Place,[Validation] 威尼斯街道。
Fondo di Gesù,Fondo del Gesù,Organization/Place,"[OCR Fix] ""Fondo di Gesù"" -> ""Fondo del Gesù"" (档案馆藏/耶稣会资产)。"
"Fontana, Conte Francesco",Francesco Fontana (Conte),Person,[Category Fix] 原文误标为 Place。建筑师 Carlo Fontana 之子。
Fontenelle,Bernard Le Bovier de Fontenelle,Person,[Disambiguation] 法国作家。
Fordham University,Fordham University,Organization,[Category Fix] 误标为 Place。
Foresteria,Foresteria (Guest House),Place,[Category Fix] 原文误标为 Work。指 Villa Valmarana ai Nani 的贵宾楼 (Foresteria)。
Forlì Cathedral,Forlì Cathedral,Place,[Validation] 弗利大教堂。
Fortitude,Fortitude,Person (Allegory),[Category Fix] 原文误标为 Man-Made Object。寓意人物。
Fortune under the control of Virtue,Fortune under the control of Virtue,Work,[Validation] 绘画主题。
"Fortune under the control of Virtue, Justice and Peace","Fortune under the control of Virtue, Justice and Peace",Work,[Validation] 绘画主题。
Foscarini family,Foscarini (Family),Group,[Validation] 威尼斯家族。
Foscarini palace,Palazzo Foscarini,Place,[Category Fix] 原文误标为 Work。
"Fountaine, Sir Andrew",Andrew Fountaine,Person,[Category Fix] 原文误标为 Work。
Four Evangelists,Four Evangelists,Group/Work,[Validation] 四福音书作者 (主题)。
Four Rivers Fountain,Fontana dei Quattro Fiumi,Work,[Category Fix] 原文误标为 Place。贝尼尼作品。
Fra Bartolomeo,Fra Bartolomeo,Person,[Validation] 画家。
Fra Galgario,Fra Galgario (Vittore Ghislandi),Person,[Validation] 贝加莫肖像画家。
"Fragonard, Jean Honoré",Jean-Honoré Fragonard,Person,[Reconstruction] 法国画家。
Fran?ois Boucher,François Boucher,Person,"[OCR Fix] ""?"" -> ""ç""。"
Fran?ois Duquesnoy,François Duquesnoy,Person,"[OCR Fix] ""?"" -> ""ç""。"
Fran?ois Girardon,François Girardon,Person,"[OCR Fix] ""?"" -> ""ç""。"
Fran?ois Mansart,François Mansart,Person,"[OCR Fix] ""?"" -> ""ç""。"
Fran?ois Rabelais,François Rabelais,Person,"[OCR Fix] ""?"" -> ""ç""。"
Fran?ois de Bonne de Créquy,François de Bonne de Créquy,Person,"[OCR Fix] ""?"" -> ""ç""。"
Fran?ois de Nomé,François de Nomé (Monsù Desiderio),Person,"[OCR Fix] ""?"" -> ""ç""。"
Fran?ois-Joachim de Pierre de Bernis,François-Joachim de Pierre de Bernis,Person,"[OCR Fix] ""?"" -> ""ç""。"
"Francavilla, Pietro",Pietro Francavilla,Person,[Category Fix] 原文误标为 Man-Made Object。雕塑家。
Frances Lehman Loeb Art Center,Frances Lehman Loeb Art Center,Place,[Validation] 瓦萨学院美术馆。
Frances Pamela Ann Strickland,Frances Pamela Ann Strickland,Person,[Validation] 人物。
Francesca Bussi,Francesca Bussi,Person,[Category Fix] 原文误标为 Place。罗马人物 (Bussi家族)。
Francesca Flores D'Arcais,Francesca Flores d'Arcais,Person,[Validation] 艺术史学家。
Francesco Adriano Ceva,Francesco Adriano Ceva,Person,[Validation] 枢机主教。
Francesco Albergati Capacelli,Francesco Albergati Capacelli,Person,[Validation] 剧作家。
Francesco Alberto Salvagnini,Francesco Alberto Salvagnini,Person,[Validation] 18世纪博洛尼亚学者。
Francesco Algarotti,Francesco Algarotti,Person,[Category Fix] 原文误标为 Place。威尼斯多面手/鉴赏家。
Francesco Allegrini,Francesco Allegrini,Person,[Category Fix] 原文误标为 Place。画家。
Francesco Andrea Grassi,Francesco Andrea Grassi,Person,[Validation] 主教。
Francesco Andreosi,Francesco Andreosi,Person,[Category Fix] 原文误标为 Place。雕塑家/修复师。
Francesco Angelo Rapaccioli,Francesco Angelo Rapaccioli,Person,[Validation] 枢机主教。
Francesco Angeloni,Francesco Angeloni,Person,[Category Fix] 原文误标为 Place。古物学家/Bellori的叔叔。
Francesco Antonio Correr,Francesco Antonio Correr,Person,[Category Fix] 原文误标为 Place。威尼斯宗主教。
Francesco Antonio Vallotti,Francesco Antonio Vallotti,Person,[Validation] 音乐理论家/作曲家。
Francesco Baratta the Elder,Francesco Baratta,Person,[Validation] 雕塑家。
Francesco Barberini,Francesco Barberini (1597–1679),Person,[Validation] 枢机主教。
