Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Fantasy and reason,Fantasy and Reason,Concept/Work,[Category Fix] 艺术理论概念。
"Farnese, Odoardo, Duke of Parma",Odoardo I Farnese,Person,[Standardization] 帕尔马公爵。
"Farnese, Ranuccio II, Duke of Parma",Ranuccio II Farnese,Person,[Standardization] 帕尔马公爵。
"Fedini, Domenico",Domenico Fedini,Person,[Formatting] 标准格式。
"Ferrerio, Andrea",Andrea Ferreri,Person,"[OCR Fix] 修正拼写 ""Ferrerio"" -> ""Ferreri"" (17-18世纪雕塑家)。"
Flemish artists in Rome,Flemish Artists in Rome,Group,[Category Fix] 误标为地点，应为群体。
"Fontana, Conte Francesco",Francesco Fontana,Person,[Category Fix] 误标为地点。建筑师 Carlo Fontana 之子。
Foscarini family,Foscarini family,Group,[Category Fix] 误标为地点，应为家族。
"Fratta, D. M.",Domenico Maria Fratta,Person,[Disambiguation] 补全首字母 (波洛尼亚画家/绘图师)。
"Frederick Augustus I, Elector of Saxony",Augustus II the Strong,Person,[Standardization] 萨克森选帝侯腓特烈·奥古斯特一世（即波兰国王奥古斯特二世）。
"Frederick Augustus II, Elector of Saxony",Augustus III of Poland,Person,[Standardization] 萨克森选帝侯腓特烈·奥古斯特二世（即波兰国王奥古斯特三世）。
French hostility to Italian art in the 17th century,French Hostility to Italian Art,Concept/Work,[Category Fix] 历史/艺术批评概念。
French patronage,French Patronage,Concept/Work,[Category Fix] 艺术赞助概念。
"Furnaletto, Lodovico",Lodovico Furlanetto,Person,"[OCR Fix] 修正拼写 ""Furnaletto"" -> ""Furlanetto"" (威尼斯版画商)。"
"Gabburri, Francesco",Francesco Maria Niccolò Gabburri,Person,[Category Fix] 误标为地点。佛罗伦萨收藏家。
"Gabrieli, Lodovico",Lodovico Gabrielli,Person,"[OCR Fix] ""Gabrieli"" -> ""Gabrielli""。"
"Garganego, Girolamo",Girolamo Garganego,Person,[Formatting] 标准格式。
Gazzeta Veneta,Gazzetta Veneta,Work,"[OCR Fix] ""Gazzeta"" -> ""Gazzetta"" (Gasparo Gozzi 的报纸)。"
"George I, King of England",George I of Great Britain,Person,[Standardization] 英国国王。
"George III, King of England",George III of the United Kingdom,Person,[Standardization] 英国国王。
German patronage,German Patronage,Concept/Work,[Category Fix] 艺术赞助概念。
"German princes, taste in art",German Princes' Taste,Concept/Work,[Category Fix] 误标为人物，实为概念。
"Ghibbesio, Jacopo",James Gibbs (Jacopo Ghibbes),Person,[Disambiguation] 苏格兰建筑师 James Gibbs 的意大利语化名字。
Giovanelli collection,Giovanelli Collection,Collection/Work,[Category Fix] 艺术收藏。
"Giustiniani, Abbate Michele",Michele Giustiniani,Person,[Formatting] 去除头衔。
"Gloucester, William Henry, 1st Duke of","Prince William Henry, Duke of Gloucester",Person,[Disambiguation] 乔治三世的弟弟。
"Gozadini, Bonisezio",Bonisezio Gozzadini,Person,"[OCR Fix] ""Gozadini"" -> ""Gozzadini""。"
