Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Regulus killed by the Carthaginians,Regulus killed by the Carthaginians (Painting),Work,[Category Fix] 误标为人物。Salvator Rosa 的画作。
Relief of Field Marshal Schulenburg,Relief of Field Marshal Schulenburg (Sculpture),Work,[Status] 纪念物。
Religion trampling on Heresy,Religion Trampling on Heresy (Statue/Painting),Work,[Category Fix] 误标为人物。Le Gros 的雕塑或 Legnanino 的画。
Religious Decorations at Whitehall,Religious Decorations at Whitehall (Chapel Royal),Work,[Category Fix] 误标为地点。Verrio/Rubens 等人的装饰。
Renier Zeno,Reniero Zeno,Person,[Category Fix] 误标为作品。威尼斯总督。
Ritratto con aistallo,Ritratto con cristallo (Portrait with Crystal?),Work,"[OCR Fix] ""aistallo"" -> ""cristallo""? 或者是特定人名/物名。"
Robert Alexander Waller Fund,Robert Alexander Waller Fund,Organization/Concept,[Category Fix] 误标为作品。资金来源 (Art Institute of Chicago)。
Roberto Lanetti,Roberto Lanetti,Person,[Category Fix] 误标为作品。
Rococo Pavilion,Rococo Pavilion,Place,[Category Fix] 误标为人物。
Romulm and Remus,Romulus and Remus (Painting/Statue),Work,"[OCR Fix] ""Romulm"" -> ""Romulus""。"
Rosalba Lorenzetti,Rosalba Lorenzetti,Person,[Category Fix] 误标为地点。
Ruins of the Church of the Cross,Ruins of the Church of the Cross (Drawing/Painting),Work,[Category Fix] 误标为人物。
Rules of the Order,Rules of the Order,Work/Concept,[Category Fix] 误标为地点。修会会规。
San Gerolamo nel Deserto,San Gerolamo nel Deserto (Painting),Work,[Status] 圣哲罗姆在沙漠中。
SanGiovanni Decollato,San Giovanni Decollato,Place,[OCR Fix] 补全空格。罗马或威尼斯教堂。
SanMaria della Concezione,Santa Maria della Concezione,Place,"[OCR Fix] 补全空格 ""Santa""。"
SanMaria della Vittoria,Santa Maria della Vittoria,Place,"[OCR Fix] 补全空格 ""Santa""。"
SSan Cosma e Damiano alia Giudecca,Santi Cosma e Damiano alla Giudecca,Place,"[OCR Fix] ""SSan"" -> ""Santi"", ""alia"" -> ""alla""。威尼斯教堂。"
Sacrifices to Priapus,Sacrifices to Priapus (Sculpture/Painting),Work,[Category Fix] 误标为地点。
Saints Peter and Paul Baptising in the Mamertine Prison,Saints Peter and Paul Baptising... (Painting),Work,[Category Fix] 误标为地点。
Salumieri Guild,Guild of Salumieri (Luganegheri),Organization,[Category Fix] 误标为地点。威尼斯行会 (Scuola dei Luganegheri)。
