Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Harold von Hocheim being invested with the princedom by the Emperor in 1163,Harold von Hocheim (Investiture),Event/Work,[Standardization] 历史事件/绘画主题。Harold von Hocheim 即 St. Albert of Jerusalem (Albert Avogadro) 的误称或特定绘画描述。
Boyle/Locke/Sydenham,Boyle / Locke / Sydenham,Person,"[Split Required] 需拆分。指 Robert Boyle, John Locke, Thomas Sydenham (可能是一组肖像或半身像)。"
Brutus killing Arruns,Brutus killing Arruns (Painting),Work,[Category Fix] 误标为地点。绘画主题。
Bust of Francis Bacon,Bust of Francis Bacon,Work,[Category Fix] 误标为地点。雕塑。
Bust of Paolo Renier,Bust of Paolo Renier,Work,[Category Fix] 误标为人物。雕塑。
Bust of Phocion,Bust of Phocion,Work,[Status] 雕塑。
Caesar and the Corsairs of Cilicia,Caesar and the Corsairs of Cilicia (Painting),Work,[Status] 绘画主题。
Caiano Ferdinand,Grand Prince Ferdinando de' Medici (at Poggio a Caiano),Person,[Disambiguation] 指 Ferdinando de' Medici (Grand Prince)，常驻 Poggio a Caiano。
Calabrian national church,Calabrian National Church (San Francesco di Paola ai Monti),Place,[Disambiguation] 罗马的卡拉布里亚人教堂。
Caprizi Copiosi di Figure,Capricci Copiosi di Figure (Book/Etchings),Work,"[OCR Fix] ""Caprizi"" -> ""Capricci""。"
Capuchin church in Rome,Santa Maria della Concezione dei Cappuccini,Place,[Category Fix] 误标为作品。罗马嘉布遣会教堂。
Mazarin in His Gallery,Cardinal Mazarin in His Gallery (Painting),Work,[Category Fix] 误标为人物。
Caricature of Cassiano dal Pozzo,Caricature of Cassiano dal Pozzo,Work,[Category Fix] 误标为地点。
Carlo Baccinelli,Carlo Baccinelli,Person,[Category Fix] 误标为作品。可能是18/19世纪人物。
Carlo Grimaldo,Carlo Grimaldi,Person,"[OCR Fix] ""Grimaldo"" -> ""Grimaldi"" (可能是 Carlo Grimaldi, 建筑师/音乐家)。误标为地点。"
Carlo Quarismini,Carlo Quarismini,Person,[Status] 18世纪威尼斯相关人物。
Carro Della Notte,Il Carro della Notte (Painting),Work,"[Status] ""夜之车""，绘画主题。"
Casa Soster,Casa Soster,Place,[Category Fix] 误标为人物。威尼斯建筑。
Castel Cogolo,Castel Cogolo,Place,[Category Fix] 误标为人物。地名。
Castello Sfarzesco,Castello Sforzesco,Place,"[OCR Fix] ""Sfarzesco"" -> ""Sforzesco""。误标为人物。"
Castle of Cogolo,Castle of Cogolo,Place,[Category Fix] 误标为作品。同 Castel Cogolo。
Cathedral of Rome,Basilica of St. John Lateran,Place,[Disambiguation] 罗马的主教座堂是拉特朗圣若望大殿。
Cattedrale Chiesa di Parenzo,Euphrasian Basilica (Poreč/Parenzo),Place,[Standardization] 帕伦佐主教座堂。
Dello speron d'oro,Order of the Golden Spur,Organization/Concept,[Category Fix] 误标为地点。金马刺骑士团。
Ceiling Frescoes in Palazzo Altieri,Ceiling Frescoes in Palazzo Altieri,Work,[Status] Carlo Maratta 等人的作品。
Ceiling Frescoes in the Quirinal Palace Gallery,Ceiling Frescoes in the Quirinal Palace,Work,[Category Fix] 误标为地点。
Ceiling Paintings at Hampton Court,Ceiling Paintings at Hampton Court,Work,[Category Fix] 误标为地点。Verrio 等人的作品。
Ceiling fresco of the Augustinian Church,Ceiling fresco of the Augustinian Church,Work,[Category Fix] 误标为人物。
Ceiling of Palazzo Doria-Pamphili,Ceiling of Palazzo Doria Pamphilj,Work,[Status] Pietro da Cortona 等人的作品。
Ceremonies of the Grand,Ceremonies of the Grand (Duke/Master?),Event/Work,"[Status] 可能是 ""Ceremonies of the Grand Duke"" 的截断。"
Chapel of Saint Stanislaus Kostka,Chapel of Saint Stanislaus Kostka,Place,[Category Fix] 误标为作品。位于 Sant'Andrea al Quirinale。
Charles Fran ois de Saint Saulieu,Charles-François de Saint-Saulieu,Person,[OCR Fix] 修复乱码。误标为作品。
Chiesa de' Servi,Chiesa dei Servi (Venice/Bologna),Place,[Category Fix] 误标为作品。
Christ and St Veronica,Christ and St Veronica (Painting),Work,[Category Fix] 误标为人物。
Christ driving the Jews from the Temple,Christ Driving the Money Changers from the Temple,Work,[Category Fix] 误标为地点。绘画主题。
Christ in the Boat calming His Disciples,Christ Calming the Storm (Painting),Work,[Category Fix] 误标为人物。
Church Great WitleyWatson,Great Witley Church (St Michael and All Angels),Place,[Disambiguation] 位于 Great Witley 的教堂。
Church of Santa Maria Rotonda,Pantheon (Santa Maria ad Martyres),Place,[Disambiguation] 罗马万神殿的教会名称。误标为作品。
Church of the Apostoli,Santi Apostoli (Venice/Rome),Place,[Category Fix] 误标为作品。
Cincinnatus summoned from the Plough,Cincinnatus Summoned from the Plough (Painting),Work,[Status] 绘画主题。
Coggio Pittoni,Coggio Pittoni (Misreading),Person,"[Review] 极可能是 ""Orazio Pittoni"" 或 ""Giambattista Pittoni"" 的 OCR 错误/误读 (Coggio vs Orazio?)。"
Coggioh Pittoni,Coggio Pittoni (Misreading),Person,[Review] 同上。
Collegio di Siena,Collegio di Siena,Organization,[Category Fix] 误标为地点。
Consiglio del Consorzio,Consiglio del Consorzio,Organization,[Category Fix] 误标为作品。
Conte Carpegna,Count Carpegna (Gaspare Carpegna?),Person,[Disambiguation] 可能是红衣主教 Gaspare Carpegna。
Conte Tassis,Count Tassis (Thurn und Taxis),Person,[Disambiguation] 塔西斯伯爵。
Copy of Annibale Carracci's Works,Copy of Annibale Carracci's Works,Work,[Category Fix] 误标为地点。
Copy of Raphael's Loggias,Copy of Raphael's Loggias,Work,[Category Fix] 误标为地点。
Correr Library,Biblioteca del Museo Correr,Organization,[Category Fix] 误标为人物。
Corti Guido,Guido Corti,Person,[Formatting] 倒装。
The Imperial ambassador of Bolagno,The Imperial Ambassador of Bologna,Person,"[OCR Fix] ""Bolagno"" -> ""Bologna""? 或者 ""Bolagnos"" (Count Bolagnos)。误标为作品。"
Couvent des Augustins D谷chauss谷s,Couvent des Augustins Déchaussés,Place,[OCR Fix] 修复乱码。巴黎奥斯定会修道院。误标为作品。
Creusa imploring Aeneas to rescue his father Anchises from the fire of Troy,Creusa Imploring Aeneas... (Painting),Work,[Category Fix] 误标为地点。
Dance of Nymphs,Dance of Nymphs (Painting),Work,[Category Fix] 误标为人物。
Death of Saint Francis Xavier,Death of Saint Francis Xavier (Painting),Work,[Category Fix] 误标为人物。
Decorations for Saint Augustine Church,Decorations for Saint Augustine Church,Work,[Category Fix] 误标为地点。
