Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Malborough Fine Art Ltd,Marlborough Fine Art,Organization,"[OCR Fix] ""Malborough"" -> ""Marlborough""。画廊。"
Marchigian town,Marchigian Town (Landscape),Work,[Category Fix] 误标为作品。可能是画作描述。
Palazzo Marco Foscarini's,Palazzo Foscarini (San Stae),Place,[Standardization] 马可·福斯卡里尼的宫殿。
Maresca di Serracapmula,Maresca di Serracapriola,Family/Person,"[OCR Fix] ""Serracapmula"" -> ""Serracapriola""。那不勒斯贵族。"
Maria Elena Ghelli,Maria Elena Ghelli,Person,[Category Fix] 误标为地点。可能是学者或历史人物。
Maria Pamfili,Maria Pamphilj,Person,[Category Fix] 误标为地点。
Mario D'Orsi,Mario D'Orsi,Person,[Category Fix] 误标为地点。艺术史学家。
Marriage Allegory of the Rezzonico Family,Marriage Allegory of the Rezzonico Family (Fresco),Work,[Category Fix] 误标为人物。Tiepolo 的作品。
Marshal Schulenburg,Johann Matthias von der Schulenburg,Person,[Standardization] 舒伦堡元帅。
Martirii patiti da Santi Martiri per La confessione di Christo,Martirii patiti da Santi Martiri... (Book/Print),Work,[Category Fix] 误标为人物。Antonio Gallonio 的书?
Mar赤a Antonieta Gatas,María Antonieta Gatas,Person,[OCR Fix] 修复乱码。
Matteo del Teglia,Matteo del Teglia,Person,[Category Fix] 误标为作品。佛罗伦萨外交官/官员。
Mattia Rosichino,Mattia Rosichino,Person,[Category Fix] 误标为作品。17世纪 Palazzo Barberini 的管理员/向导。
Max Steinbart,Max Steinbart,Person,[Category Fix] 误标为作品。收藏家。
Melle Calberg,Mademoiselle Calberg,Person,[Status] 可能是收藏家/人物。
Mercury awaking Aeneas,Mercury awaking Aeneas (Painting),Work,[Category Fix] 误标为人物。
Messrs T. and A. Constable Ltd.,T. and A. Constable,Organization,[Category Fix] 误标为人物。印刷商/出版商。
Michele Lauretano,Michele Lauretano,Person,[Status] 耶稣会士，罗马日耳曼学院院长。
Mina Pajes Merriman,Mina Pajes Merriman,Person,[Category Fix] 误标为人物。艺术史学家 (Guercino 专家)。
Minori Osservanti,Order of Friars Minor (Observants),Organization,[Category Fix] 误标为作品。方济各会分支。
