Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
"Newcastle, Thomas Pelham-Holles, Duke of","Thomas Pelham-Holles, 1st Duke of Newcastle",Person,[Standardization] 英国政治家。
"Newcastle, William Cavendish, Duke of","William Cavendish, 1st Duke of Newcastle",Person,[Standardization] 17世纪保皇党将领。
"Non, Dominique De (Dominique Vivant-Denon)",Vivant Denon,Person,[Standardization] 法国艺术家、考古学家和博物馆馆长。
"Nordiall, John",John Nordiall,Person,[Review] 罕见名字，可能是误拼或不知名人物，暂保留。
"Novaroli, P. Octavio",Padre Ottavio Novaroli,Person,[Formatting] 补全头衔 (Padre)。
"Olina, P.",Padre Olina,Person,[Formatting] 补全头衔。
Opera in Rome,Opera in Rome,Concept/Work,[Category Fix] 误标为地点，实为艺术活动/概念。
"Orleans, Margherite d'",Marguerite Louise d'Orléans,Person,[Disambiguation] 托斯卡纳大公夫人。
"Orleans, Philippe d', Regent","Philippe II, Duke of Orléans",Person,[Standardization] 法国摄政王。
"Ortes, Abate Giuseppe Maria",Giammaria Ortes,Person,[Standardization] 威尼斯作家和经济学家。
"Osimo, Don Cesare Leopardi di",Cesare Leopardi di Osimo,Person,[Formatting] 标准格式。
"Ottonelli, Padre",Giovan Domenico Ottonelli,Person,[Disambiguation] 耶稣会士，反巴洛克戏剧论者。
"Oxford, Robert Harley, Earl of","Robert Harley, 1st Earl of Oxford",Person,[Formatting] 标准格式。
"Painting, social significance of",Social Significance of Painting,Concept/Work,[Category Fix] 误标为人物，实为概念。
"Pamfili (Astalli), Camillo",Camillo Astalli (Cardinal-Nephew),Person,[Disambiguation] 被英诺森十世收养的侄子。
Pamfili palace (Piazza Navona),Palazzo Pamphilj (Piazza Navona),Place,[Standardization] 罗马潘菲利宫。
"Pamfili, Gianbattista (Pope Innocent X)",Pope Innocent X (Giovanni Battista Pamphilj),Person,[Standardization] 优先使用教皇名号。
"Pamfili, Giulia",Giulia Maidalchini (Olimpia Maidalchini),Person,[Correction] 极可能是 Olimpia Maidalchini (Donna Olimpia Pamphilj)，英诺森十世的嫂子。
"Pamfili, Prince Camillo (nephew to Pope Innocent X)",Camillo Pamphilj,Person,[Formatting] 放弃红衣主教职位的亲王。
"Panciatichi, Senator Francesco",Francesco Panciatichi,Person,[Category Fix] 误标为地点。佛罗伦萨参议员。
"Paris, Venetian 18th-century artists in",Venetian Artists in Paris,Group,[Category Fix] 误标为地点，实为群体/现象。
"Parma, Academy",Academy of Fine Arts of Parma,Organization,[Category Fix] 机构。
"Parmigianino, Francesco",Parmigianino (Francesco Mazzola),Person,[Category Fix] 误标为地点。
"Pasquetti, Leonardo",Leonardo Pasquetti,Person,[Formatting] 标准格式。
"Passarowitz, Peace of",Treaty of Passarowitz,Event/Work,[Standardization] 帕萨罗维茨条约。
"Patriarch, Gaspare",Gaspare Patriarch,Person,"[Review] 疑为 ""Gaspare Patriarca"" (威尼斯画家) 或 OCR 错误。"
Patron-artist relation,Patron-Artist Relationship,Concept/Work,[Standardization] 艺术社会学概念。
"Pedozzi, Padre Jacopo",Padre Jacopo Pedozzi,Person,[Formatting] 标准格式。
"Peretti-Montalto, Cardinal Alessandro",Alessandro Peretti di Montalto,Person,[Formatting] 蒙塔尔托红衣主教。
"Perusini, Giovanni",Giovanni Peruzzini,Person,"[OCR Fix] ""Perusini"" -> ""Peruzzini"" (安科纳画家)。"
"Pesci, Prospero",Prospero Pesci,Person,[Formatting] 18世纪罗马风景画家。
"Petau, P. Denis",Denis Pétau,Person,[Formatting] 耶稣会神学家。
"Peterborough, 3rd Earl of","Charles Mordaunt, 3rd Earl of Peterborough",Person,[Disambiguation] 补全全名。
"Piastrini, G. D.",Giovanni Domenico Piastrini,Person,[Disambiguation] 佛罗伦萨画家。
"Piccino, Jacopo",Jacopo Piccini,Person,"[OCR Fix] ""Piccino"" -> ""Piccini"" (威尼斯版画师)。"
"Pisa, Treaty of",Treaty of Pisa,Event/Work,[Standardization] 历史事件。
"Pisani, Almor辰",Almorò Pisani,Person,"[OCR Fix] 修复乱码 ""辰"" 为 ""ò""。"
Platnerus,Johann Heinrich Plattner,Person,[Disambiguation] 可能是拉丁化拼写。
"Polazzo, Francesco",Francesco Polazzo,Person,[Category Fix] 误标为地点，应为人物 (威尼斯画家)。
"Pomarance, Niccol辰 Circignani dalle",Niccolò Circignani (Il Pomarancio),Person,"[OCR Fix] 修复乱码 ""辰"" 为 ""ò""。"
"Pompeati, Domenico",Domenico Pompeati,Person,[Formatting] 标准格式。
