Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Francesco Drach,Francesco Drach,Person,[Category Fix] 误标为地点。可能指画商或小画家。
Francesco Griseri,Francesco Griseri,Person,[Category Fix] 误标为地点。建筑师/艺术家。
Francesco Panciatichi,Francesco Panciatichi,Person,[Category Fix] 误标为作品。佛罗伦萨参议员/赞助人。
Francesco Scaramuccia,Francesco Scaramuccia,Person,[Category Fix] 误标为作品。可能指 Luigi Scaramuccia?
Palazzo Fresco on staircase of Hampton Court,Frescoes on the Staircase of Hampton Court,Work,[Category Fix] 误标为人物。Verrio 的壁画。
Frescoes in Lanfranco Cathedral,Frescoes in Lanfranco's Cathedral (Modena/Parma?),Work,[Category Fix] 误标为人物。可能是指 Lanfranco 在某教堂的壁画，或地点错误。
Frescoes in Palazzo Barberini Salone,Frescoes in Palazzo Barberini (Salone),Work,[Category Fix] 误标为人物。Pietro da Cortona。
Frescoes in Sant'Andrea della Valle,Frescoes in Sant'Andrea della Valle,Work,[Category Fix] 误标为人物。Domenichino/Lanfranco。
Frescoes in the Corsini Chapel,Frescoes in the Corsini Chapel,Work,[Category Fix] 误标为地点。
Frescoes in the Palace at Valmontone,Frescoes in Palazzo Doria-Pamphilj (Valmontone),Work,[Status] Mola/Preti。
Fulvio Miari,Fulvio Miari,Person,[Category Fix] 误标为作品。
G.M. Sasso,Giovanni Maria Sasso,Person,[Category Fix] 误标为作品。威尼斯艺术商。
Galleria Giustiniani,Galleria Giustiniani,Collection/Work,[Status] 尤斯蒂尼亚尼收藏/图录。
Galleria L'Antonina,Galleria L'Antonina,Organization,[Category Fix] 误标为地点。罗马画廊/拍卖行。
Gallerie di Firenze,Gallerie di Firenze,Organization/Place,[Category Fix] 误标为人物。
Gallery of the Aeneid,Gallery of the Aeneid (Palazzo Doria Pamphilj),Work/Place,[Status] Pietro da Cortona 的壁画厅。
Gaspare Partridge,Gaspare Partridge,Person,[Category Fix] 误标为地点。英国驻威尼斯领事/代理人?
Gerald Burden,Gerald Burden,Person,[Category Fix] 误标为地点。
Gerolamo Nappi,Gerolamo Nappi,Person,[Category Fix] 误标为地点。
