Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
"Artistic temperament', development of concept",Artistic Temperament (Concept),Concept/Work,[Category Fix] 这是一个概念而非作品。
Rosichino',Francesco Rosichino,Person,[Disambiguation] 去除引号，补全为17世纪罗马礼仪官 Francesco Rosichino。
Status-seeking' by artists in 17th-century Rome,Status-seeking (Concept),Concept/Work,[Category Fix] 这是一个社会学概念。
Accademia di Pittura e Scultura,Accademia di San Luca,Organization,[Disambiguation] 结合罗马背景，指代圣路卡学院。
"Adda, Cardinal d'",Ferdinando d'Adda,Person,[Disambiguation] 补全为 Ferdinando d'Adda 红衣主教。
"Aix-la-Chapelle, Peace of",Treaty of Aix-la-Chapelle,Event/Work,[Standardization] 规范化为亚琛和约。
"Albergati-Capacelli, Francesco",Francesco Albergati Capacelli,Person,[Category Fix] 原文误标为地点，应为人物。
"Albrizzi, Almor“～",Almorò Albrizzi,Person,"[OCR Fix] 修复乱码 ""“～"" 为 ""ò""。"
Alticchiero (Querini villa),Villa Querini (Alticchiero),Place,[Standardization] 标准化地点名称。
"Altieri, Don Gasparo",Gasparo Altieri,Person,[Formatting] 调整为标准人名格式。
"Amelot de la Houssaye, A. N.",Abraham-Nicolas Amelot de la Houssaye,Person,[Disambiguation] 补全首字母缩写。
"Anne of Austria, Regent of France",Anne of Austria,Person,[Category Fix] 原文误标为地点，应为人物。
"Anne, Queen of England","Anne, Queen of Great Britain",Person,[Standardization] 规范化历史头衔。
Anti-papal satire in reign of Alexander VII,Anti-papal satire,Concept/Work,[Category Fix] 这是一个主题/概念。
"Antonazzi, Antonio Maria",Antonio Maria Antonazzi,Person,[Formatting] 调整为标准人名格式。
"Arcadia, Society of",Accademia dell'Arcadia,Organization,[Disambiguation] 罗马阿卡迪亚学院。
"Armanni, G. A.",Giacomo Antonio Armanni,Person,[Disambiguation] 补全首字母，可能是罗马文人/官员。
"Arpino, Cavaliere d'",Giuseppe Cesari (Il Cavalier d'Arpino),Person,[Disambiguation] 转换为 Wikidata 标准名。
"Artist's position in society, Andrea Memmo on",Artist's Social Position,Concept/Work,[Category Fix] 社会地位概念。
"Artists, status of in 17th-century Rome",Artist's Social Status,Concept/Work,[Category Fix] 社会地位概念。
"Augustus II of Poland (Frederick Augustus I, Elector of Saxony)",Augustus II the Strong,Person,[Standardization] 使用通用历史称呼。
Baglioni collection,Baglioni Collection,Collection/Work,[Category Fix] 艺术收藏而非单一作品。
"Bagnara, Duchess of",Duchess of Bagnara (Ruffo family),Person,[Disambiguation] 巴尼亚拉公爵夫人。
"Baldoini, Giovanni Gasparo",Giovanni Gasparo Baldoini,Person,[Formatting] 标准格式。
"Barbarigo, Caterina",Caterina Barbarigo,Person,[Formatting] 标准格式。
"Barberini, Cardinal Francesco (nephew to Urban VIII)",Francesco Barberini (1597–1679),Person,[Category Fix] 原文误标为地点，补全生卒年以区分。
"Barberini, Monsignor Francesco (uncle to Urban VIII)",Francesco Barberini (1528–1600),Person,[Category Fix] 原文误标为地点，补全生卒年以区分。
