Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Lazzaro Baldi,Lazzaro Baldi,Person,[Validation] 罗马画家。
Lazzaro Rivera,Lazzaro Rivera,Person,[Validation] 人物。
Le Artiche vanno per le vie nella citta di Venezia,Le Arti che vanno per via nella città di Venezia,Work,[Validation] Zompini 版画集 (Venetian Cries)。
Le Fabbriche e Vedute di Venetia,Le Fabbriche e Vedute di Venetia,Work,[Validation] Carlevarijs 版画集。
"LeBlon, Jakob Christoffel",Jakob Christoph Le Blon,Person,[Validation] 德国/法国版画家。
Leandro Ozzola,Leandro Ozzola,Person,[Validation] 艺术史学家。
Leda,Leda,Person (Myth),[Category Fix] 原文误标为 Man-Made Object。
Leda and the Swan,Leda and the Swan,Work,[Validation] 绘画主题。
"Legros, Pierre",Pierre Legros the Younger,Person,[Reconstruction] 雕塑家。
Leipzig,Leipzig,Place,[Validation] 城市。
Lelio Guidiccioni,Lelio Guidiccioni,Person,[Validation] 诗人/评论家。
"Lemaire, Jean",Jean Lemaire (Lemaire-Poussin),Person,[Validation] 法国画家。
"Lena, Innocenzo della",Innocenzo della Lena,Person,[Reconstruction] 威尼斯作家。
Leo I,Leo I (Pope),Person,[Validation] 教皇利奥一世。
Leo X,Leo X,Person,[Validation] 教皇利奥十世。
Leo van Puyvelde,Leo van Puyvelde,Person,[Validation] 比利时艺术史学家。
Leonaert Bramer,Leonaert Bramer,Person,[Validation] 荷兰画家。
Leonardo Loredan,Leonardo Loredan,Person,[Validation] 威尼斯总督。
Leonardo Pasqueti,Leonardo Pasqueti,Person,[Validation] 人物。
Leonardo Pesaro,Leonardo Pesaro,Person,[Validation] 威尼斯贵族。
Leonardo Venier,Leonardo Venier,Person,[Validation] 威尼斯贵族。
Leonardo da Vinci,Leonardo da Vinci,Person,[Validation] 达芬奇。
"Leonardo, Conte di Valmarana",Leonardo Valmarana,Person,[Validation] 贵族。
Leonine City,Leonine City,Place,[Validation] 梵蒂冈区域。
Leonora Baroni,Leonora Baroni,Person,[Validation] 歌手/竖琴演奏家。
