Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Homer,Homer,Person,[Validation] 荷马。
"Honthorst, Gerrit van",Gerrit van Honthorst,Person,[Validation] 荷兰画家。
Horace,Horace,Person,[Validation] 罗马诗人 (贺拉斯)。
Horace Walpole,Horace Walpole,Person,[Validation] 英国作家/艺术史学家。
Horatio Brown,Horatio Brown,Person,[Validation] 威尼斯历史学家。
Horses of Saint Mark,Horses of Saint Mark,Work,[Category Fix] 原文误标为 Man-Made Object (可以接受，但更具体为 Work)。古代青铜马。
Howard Hibbard,Howard Hibbard,Person,[Validation] 艺术史学家 (Bernini/Caravaggio)。
Hugh Honour,Hugh Honour,Person,[Validation] 艺术史学家 (Neoclassicism/Venice)。
Hugh Percy,Hugh Percy,Person,"[Ambiguity] 可能是第一代或第二代诺森伯兰公爵。通常指 Hugh Percy, 1st Duke of Northumberland。"
"Hugh Percy, 10th Duke of Northumberland","Hugh Percy, 10th Duke of Northumberland",Person,[Context] 第十代公爵是现代人 (1953生)。如果出现在早期现代艺术书籍索引中，可能是误植 (应为 1st Duke) 或作为收藏所有者提及。
"Hume, A.",Abraham Hume,Person,[Reconstruction] 收藏家/鉴赏家。
Hyacinthe Rigaud,Hyacinthe Rigaud,Person,[Validation] 法国画家。
Hélène Adhémar,Hélène Adhémar,Person,[Validation] 艺术史学家 (Watteau)。
Iacopo Morelli,Jacopo Morelli,Person,[Validation] 圣马可图书馆馆长。
Ida Treat,Ida Treat,Person,[Validation] 作家。
Idyll,Idyll,Work/Concept,[Validation] 文学/绘画体裁。
Ignatius of Loyola,Saint Ignatius of Loyola,Person,[Validation] 耶稣会创始人。
"Ignatius, St",Saint Ignatius of Loyola,Person,[Validation] 同上。
Ignazio Enrico Hugford,Ignazio Hugford,Person,[Validation] 佛罗伦萨画家/收藏家。
Il Frappatore,Il Frappatore,Work,[Validation] 可能是戏剧或绘画作品名称。
Il filosofo inglese,Il filosofo inglese,Work,[Validation] 哥尔多尼的戏剧。
Ilaria Toesca,Ilaria Toesca,Person,[Validation] 艺术史学家。
Illustrated books,Illustrated books,Concept/Work,[Validation] 书籍类型。
Illustrations for De Bello Belgico,Illustrations for De Bello Belgico,Work,[Validation] Famiano Strada 书籍的插图。
Illustrations for Latin Poems,Illustrations for Latin Poems,Work,[Validation] 可能是 Barberini 的诗集插图。
Images of Palladian Architecture,Images of Palladian Architecture,Work,[Validation] 可能是书籍或版画集。
Imaginary Tomb of the Duke of Devonshire,Imaginary Tomb of the Duke of Devonshire,Work,[Validation] Ricci/Pittoni 画作 (Tombeaux des Princes)。
Imago Primi Saeculi,Imago Primi Saeculi Societatis Jesu,Work,[Validation] 耶稣会书籍。
Imola Public Library,Biblioteca Comunale di Imola,Place,[Validation] 图书馆。
Incisa Della Rocchetta,Giovanni Incisa della Rocchetta,Person,[Reconstruction] 学者。
Indecency and the erotic,Indecency and the erotic,Concept,[Validation] 艺术史议题。
Indecency in art,Indecency in art,Concept,[Validation] 艺术史议题。
Inigo Jones,Inigo Jones,Person,[Validation] 英国建筑师。
"Innocent X, Pope",Innocent X,Person,[Validation] 教皇。
"Innocent XII, Pope",Innocent XII,Person,[Validation] 教皇。
Innocent XIII,Innocent XIII,Person,[Validation] 教皇。
Innocenzo,Innocenzo (Artist/Person),Person,[Ambiguity] 可能是 Innocenzo da Imola 或其他。需上下文。
Institutum Romanum Finlandiae,Institutum Romanum Finlandiae,Organization,[Category Fix] 原文误标为 Place。芬兰罗马研究所 (Villa Lante)。
Interior of S. Andrea al Quirinale,Interior of Sant'Andrea al Quirinale,Work,[Validation] 画作/版画主题 (Panini等)。
Interior of the Pantheon,Interior of the Pantheon,Work,[Validation] 画作/版画主题 (Panini等)。
Iphigenia,Iphigenia,Person (Myth),[Validation] 神话人物。
Ippolito Aldobrandini,Ippolito Aldobrandini (Clement VIII),Person,[Disambiguation] 教皇克莱门特八世 (俗名)。也有可能是 Ippolito Aldobrandini (Cardinal)。
Ippolito Bentivoglio,Ippolito Bentivoglio,Person,[Validation] 费拉拉贵族/剧作家。
Ippolito Bevilacqua,Ippolito Bevilacqua,Person,[Validation] 贵族。
Iris,Iris,Person (Myth),[Validation] 彩虹女神。
Iris Appearing to Turnus,Iris Appearing to Turnus,Work,[Validation] 绘画主题。
Irma Jaffe,Irma B. Jaffe,Person,[Validation] 艺术史学家。
Irving Lavin,Irving Lavin,Person,[Validation] 艺术史学家 (Bernini)。
Isaac,Isaac,Person,[Validation] 圣经人物。
Isaac Newton,Isaac Newton,Person,[Validation] 牛顿。
Isabella Teotochi Albrizzi,Isabella Teotochi Albrizzi,Person,[Validation] 威尼斯作家/沙龙女主人。
Isabella de' Medici,Isabella de' Medici,Person,[Validation] 美第奇家族成员。
Isaiah,Isaiah,Person,[Validation] 先知。
Ischia,Ischia,Place,[Validation] 岛屿。
Isidoro Bianchi,Isidoro Bianchi,Person,[Validation] 伦巴第画家/灰泥艺术家。
Isis,Isis,Person (Myth),[Validation] 女神。
Italo Faldi,Italo Faldi,Person,[Validation] 艺术史学家/博物馆馆长。
J. Paul Getty Museum,J. Paul Getty Museum,Place/Organization,[Validation] 博物馆。
J?rg Garms,Jörg Garms,Person,"[OCR Fix] ""?"" -> ""ö""。艺术史学家。"
"Jabach, Everard",Everhard Jabach,Person,[Validation] 收藏家。
Jacob,Jacob,Person,[Validation] 圣经人物。
Jacob Christoph Le Blon,Jakob Christoph Le Blon,Person,[Validation] 版画家 (彩色版画发明者)。
Jacob Ghibbesio,James Gibbs,Person,[Disambiguation] 詹姆斯·吉布斯。
Jacob Hess,Jacob Hess,Person,[Validation] 艺术史学家 (Tassi/Passeri)。
Jacob and Rachel,Jacob and Rachel,Work,[Validation] 绘画主题。
Jacob and the Angel,Jacob Wrestling with the Angel,Work,[Validation] 绘画主题。
Jacob's Ladder,Jacob's Ladder,Work,[Validation] 绘画主题。
Jacopo Amigoni,Jacopo Amigoni,Person,[Validation] 威尼斯洛可可画家。
Jacopo Facciolati,Jacopo Facciolati,Person,[Validation] 帕多瓦语文学家。
Jacopo Guarana,Jacopo Guarana,Person,[Validation] 威尼斯画家。
Jacopo Palma il Giovane,Palma il Giovane,Person,[Validation] 威尼斯画家。
Jacopo Pedozzi,Jacopo Pedozzi,Person,[Validation] 灰泥艺术家 (18世纪)。
Jacopo Riguccio Galluzzi,Riguccio Galluzzi,Person,[Validation] 托斯卡纳历史学家。
"Jacopo Salviati, I duca di Giuliano",Jacopo Salviati,Person,[Validation] 贵族。
Jacopo Sansovino,Jacopo Sansovino,Person,[Validation] 建筑师/雕塑家。
Jacopo Tintoretto,Tintoretto,Person,[Validation] 丁托列托。
Jacques Bénigne Bossuet,Jacques-Bénigne Bossuet,Person,[Validation] 主教/作家。
Jacques Callot,Jacques Callot,Person,[Validation] 版画家。
Jacques Courtois,Jacques Courtois (Il Borgognone),Person,[Validation] 画家。
Jacques Duyvdant,Jacques Duyvelant,Person,[Reconstruction] 佛兰芒画家。
Jacques Thuillier,Jacques Thuillier,Person,[Validation] 艺术史学家。
Jacques Tubeuf,Jacques Tubeuf,Person,[Validation] 收藏家 (Poussin赞助人)。
Jael,Jael,Person,[Validation] 圣经人物。
Jael Hammering a nail into Sisera,Jael and Sisera,Work,[Validation] 绘画主题。
James Ackerman,James S. Ackerman,Person,[Validation] 建筑史学家 (Palladio/Michelangelo)。
James Adam,James Adam,Person,[Validation] 建筑师 (Robert Adam之弟)。
James Altham,James Altham,Person,[Validation] 英国人物 (可能指 Sir James Altham 或后代)。
James Brydges,"James Brydges, 1st Duke of Chandos",Person,[Validation] 贵族/赞助人。
James Byam Shaw,James Byam Shaw,Person,[Validation] 艺术史学家 (Venetian drawings)。
James Curran Davis,James C. Davis,Person,[Validation] 历史学家 (A Venetian Family)。
"James Francis Edward Stuart, Prince of Wales",James Francis Edward Stuart,Person,[Validation] 老僭王。
James II of England,James II of England,Person,[Validation] 英国国王。
James III of England,James Francis Edward Stuart,Person,[Disambiguation] 老僭王 (自称詹姆斯三世)。
James Thornhill,James Thornhill,Person,[Validation] 英国巴洛克画家。
James Wyatt,James Wyatt,Person,[Validation] 英国建筑师。
Jan Baptist de Wael,Jan Baptist de Wael,Person,[Validation] 佛兰芒画家/版画家。
Jan Bialostocki,Jan Białostocki,Person,[Validation] 艺术史学家。
Jan Both,Jan Both,Person,[Validation] 荷兰风景画家。
Jan Miel,Jan Miel,Person,[Validation] 佛兰芒画家。
Jan Niceo Eritreo,Gian Vittorio Rossi (Janus Nicius Erythraeus),Person,[Disambiguation] 意大利作家/学者。
