Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Monument to Pope Gregory XV,Monument to Pope Gregory XV,Work,[Category Fix] 墓葬雕塑（如 Le Gros 的作品）。
Monument to the 1st Duke of Marlborough,Monument to the 1st Duke of Marlborough,Work,[Category Fix] 里斯伯勒（Rysbrack）在布伦海姆宫的作品。
Moor Park,Moor Park,Place,赫特福德郡庄园。
"Morandi, Giammaria",Giovanni Maria Morandi,Person,佛罗伦萨巴洛克画家。
Moravia,Moravia,Place,摩拉维亚地区。
"Morelli, Jacopo",Jacopo Morelli,Person,著名的圣马可图书馆馆长。
"Morlaiter, Michelangelo",Michelangelo Morlaiter,Person,威尼斯画家（雕塑家 G.M. Morlaiter 之子）。
"Moroni, Giovanni Battista",Giovanni Battista Moroni,Person,贝加莫画家。
Morosini Palace,Palazzo Morosini,Place,威尼斯宫殿（如 Palazzo Morosini Sagredo）。
Morosini family,Morosini family,Group,威尼斯贵族家族。
Mosaic from the Temple of Fortune at Praeneste,Nile Mosaic of Palestrina,Work,[Specific Name] 著名的帕莱斯特里纳尼罗河马赛克。
"Moscheni, Pietro",Pietro Moscheni,Person,可能是 Pietro Moschini (版画家/画家)。
"Moschini, Abate G. A.",Giannantonio Moschini,Person,19世纪威尼斯艺术导览作家。
"Moscow, Venetian painting in",Venetian painting in Moscow,Concept,[Category Fix] 指“莫斯科的威尼斯绘画收藏”这一概念/主题。
Moses Trampling on Pharoah's Crown,Moses Trampling on Pharaoh's Crown,Work,"[Typo Fix] ""Pharoah"" -> ""Pharaoh""。普桑等人的画作主题。"
Moses Turning Aaron's Staff into a Serpent,Moses Turning Aaron's Staff into a Serpent,Work,[Category Fix] 圣经主题/画作。
Moses strikin the Rock,Moses Striking the Rock,Work,"[Typo Fix] ""strikin"" -> ""Striking""。"
Mostra dei Remondini,Mostra dei Remondini,Event,[Category Fix] 1958年在巴萨诺举办的重要展览。
Mostra del Tiepolo,Mostra del Tiepolo,Event,[Category Fix] 1971年在乌迪内举办的提埃坡罗大展。
"Motteux, Pierre",Peter Anthony Motteux,Person,(Pierre Antoine Motteux) 法国出生的英国剧作家/翻译家。
"Mour, Jean-Baptiste Van",Jean-Baptiste van Mour,Person,以描绘奥斯曼帝国风情著称的画家。
Mourners at Tomb of Francesco Algarotti in Pisa,Mourners at Tomb of Francesco Algarotti in Pisa,Work,[Category Fix] 特定画作或版画主题。
Mucius Scaevola at the Altar,Mucius Scaevola at the Altar,Work,[Category Fix] 穆齐奥·斯凯沃拉历史画主题。
"Mulier, Pietro",Pieter Mulier the Younger,Person,"别名 ""Il Tempesta""。"
"Munich, Nymphenburg palace",Nymphenburg Palace,Place,慕尼黑宁芬堡宫。
"Munich, patronage in 17th century",Art patronage in 17th-century Munich,Concept,[Category Fix] 艺术赞助研究主题。
