Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Portrait of Streit's Father,Portrait of Streit's Father,Work,[Category Fix] Sigismund Streit 的相关画作。
Portrait of Streit's Mother,Portrait of Streit's Mother,Work,[Category Fix]
Portrait of Streit's Sister,Portrait of Streit's Sister,Work,[Category Fix]
Portrait of Teodoro Correr,Portrait of Teodoro Correr,Work,[Category Fix] Bernardino Castelli 的画作。
Portrait of Three Musicians of the Medici Court,Portrait of Three Musicians of the Medici Court,Work,[Category Fix] Anton Domenico Gabbiani 的画作。
Portrait of a Cook,Portrait of a Cook,Work,[Category Fix] Niccolò Cassana 或 Bernardo Strozzi 的画作。
Portrait of the Queen of Prussia,Portrait of the Queen of Prussia,Work,[Category Fix] 可能是 Pesne 的画作。
Portrait of the architectural theorist Carlo Lodoli,Portrait of Carlo Lodoli,Work,[Category Fix] Alessandro Longhi 的画作。
Portrait of the artist and his publisher Albrizzi,Portrait of the Artist and his Publisher Albrizzi,Work,[Category Fix] Piazzetta 的画作（素描）。
Portraits of Venetian Cardinals,Portraits of Venetian Cardinals,Work,[Category Fix] 系列画作。
Portraits of Venetian Popes,Portraits of Venetian Popes,Work,[Category Fix] 系列画作。
Portraits of the Count and Countess of Monterrey,Portraits of the Count and Countess of Monterrey,Work,[Category Fix] 委拉斯开兹或其他人的作品。
Portraits of the Doges of Venice,Portraits of the Doges of Venice,Work,[Category Fix] 总督宫的官方肖像系列。
Potiphar,Potiphar,Person,圣经人物（波提乏），常见于“约瑟与波提乏之妻”主题。
Potsdam,Potsdam,Place,德国波茨坦。
"Pourbus, Franz, the Younger",Frans Pourbus the Younger,Person,佛兰芒肖像画家。
"Poussin, Gaspard",Gaspard Dughet,Person,别名 Gaspard Poussin，风景画家。
Powers of Eloquence,The Power of Eloquence,Work,[Category Fix] 提埃坡罗在 Würzburg 的天顶画局部或寓意画。
Powis House,Powis House,Place,伦敦宅邸。
"Powis, Lord",Marquess of Powis,Person,"可能是 William Herbert, 1st Marquess of Powis (Jacobite)。"
Prato della Valle,Prato della Valle,Place,帕多瓦著名的椭圆形广场。
Pratolino,Villa di Pratolino,Place,美第奇别墅。
Presentation the Virgin Mary into the Temple,The Presentation of the Virgin in the Temple,Work,[Category Fix] 提香或其他画家的主题。
Presenzini Cigoli,Presenzini Cigoli,Person,[Ambiguous] 可能是 Lodovico Cigoli 的作品在 Presenzini 处，或是 OCR 误读。暂作 Person。
Priapus,Priapus,Person,[Myth] 普里阿普斯。
Prices paid to artists,Prices paid to artists,Concept,[Category Fix] 经济史概念。
Prince Eugene of Savoy,Eugene of Savoy,Person,欧根亲王，著名的将领和收藏家。
Prince Maurice of Savoy,Prince Maurice of Savoy,Person,萨伏伊家族成员。
Princess Henriette Adelaide of Savoy,Henriette Adelaide of Savoy,Person,巴伐利亚选帝侯夫人。
"Procaccini, Ercole",Ercole Procaccini the Elder,Person,米兰画家（或指 Younger）。
Procida,Procida,Place,那不勒斯湾岛屿。
Procuratie nuove ex Palazzo reale,Procuratie Nuove,Place,威尼斯圣马可广场建筑。
"Professional classes, patronage by",Patronage by professional classes,Concept,[Category Fix] 赞助研究主题。
Prometheus,Prometheus,Person,[Myth] 普罗米修斯。
Prospero Colonna,Prospero Colonna,Person,科隆纳家族成员（枢机或雇佣兵队长，需语境）。
Prospero Mandosio,Prospero Mandosio,Person,17世纪传记作家（Bibliotheca Romana）。
Protestant cemetery of S. Cristoforo,Protestant Cemetery (Venice),Place,可能是指利多岛的犹太/新教墓地，或罗马的新教公墓。S. Cristoforo 是威尼斯的墓地岛（San Michele前身）。
Provencal antiquary Peiresc,Nicolas-Claude Fabri de Peiresc,Person,[Category Fix] 原文误标为 Place。Peiresc 是普罗旺斯人。
Provence,Provence,Place,普罗旺斯。
Provincial centres of art patronage,Provincial centres of art patronage,Concept,[Category Fix]
Prudence and Justice,Prudence and Justice,Work,[Category Fix] 寓意画。
Pruni豕res,Prunières,Place,"[OCR Fix] ""豕res"" -> ""ières""。法国地名（Lozère），也可能是指 Henry Prunières (人名) 的误标。"
Public Felicity Triumphant over Dangers,Public Felicity Triumphant over Dangers,Work,[Category Fix] Orazio Gentileschi 的画作。
Public Record Office,Public Record Office,Organization,[Category Fix] 英国国家档案馆前身。
Publishers in Venice,Publishers in Venice,Group,[Category Fix] 职业群体。
Publius Terentius Afer,Terence,Person,剧作家泰伦斯。
Publius Vergilius Maro,Virgil,Person,维吉尔。
"Pufendorf, Samuel",Samuel von Pufendorf,Person,法学家/历史学家。
Pyrrhus and Demetrius,Pyrrhus and Demetrius,Work,[Category Fix] 歌剧（Scarlatti/Haym）或画作。
"P?llnitz, Baron de",Karl Ludwig von Pöllnitz,Person,"[OCR Fix] ""P?llnitz"" -> ""Pöllnitz""。普鲁士回忆录作家。"
"P?ppelmann, Matthes Daniel",Matthäus Daniel Pöppelmann,Person,"[OCR Fix] ""P?ppelmann"" -> ""Pöppelmann""。德累斯顿建筑师。"
"Quadi, che rappresentano fatti della Sacra Scrittura",Quadri che rappresentano fatti della Sacra Scrittura,Work,"[OCR Fix] ""Quadi"" -> ""Quadri""。指描绘圣经故事的画作系列。"
Quattro Fontane,San Carlo alle Quattro Fontane,Place,罗马教堂（波罗米尼）或喷泉群。
Queen Jezebel torn to pieces by Dogs,Queen Jezebel Being Punished by Jehu,Work,[Category Fix] 耶洗别之死（Luca Giordano 等人画作）。
Quirinal,Quirinal Hill,Place,罗马奎里纳尔山。
Quirinal Hill,Quirinal Hill,Place,
Quirinal Palace,Quirinal Palace,Place,奎里纳尔宫。
Raccolta di centododici stampe,Raccolta di centododici stampe...,Work,[Category Fix] 版画集（如瓦萨里、提埃坡罗等作品集）。
Raffaele Colapietra,Raffaele Colapietra,Person,现代历史学家。
Raffaele Soprani,Raffaele Soprani,Person,热那亚艺术家传记作家。
Raffaello Sanzio da Urbino,Raphael,Person,拉斐尔。
Raffaelo Marchesi,Raffaello Marchesi,Person,
Raimondo Buonaccorsi,Raimondo Buonaccorsi,Person,可能是 Buonaccorsi 家族成员。
Ralph Bankes,Ralph Bankes,Person,Kingston Lacy 的创建者/收藏家。
Ranuccio I Farnese,Ranuccio I Farnese,Person,帕尔马公爵。
Ranuccio II Farnese,Ranuccio II Farnese,Person,帕尔马公爵。
"Ranuzzi, Vincenzo",Vincenzo Ranuzzi,Person,博洛尼亚贵族/收藏家。
"Rapaccioli, Cardinal",Francesco Angelo Rapaccioli,Person,枢机主教，艺术赞助人。
Rape of Europa,The Rape of Europa,Work,[Category Fix] 提香、委罗内塞等人的画作。
Rape of Helen,The Abduction of Helen,Work,[Category Fix] 常见神话主题。
Rape of the Sabine Women,The Rape of the Sabine Women,Work,[Category Fix] 普桑、詹博洛尼亚作品。
Rape of the Sabines,The Rape of the Sabine Women,Work,[Category Fix]
Raphael,Raphael,Person,拉斐尔。
Raphael Loggias,Raphael Loggias,Place,梵蒂冈拉斐尔回廊。
"Rastatt, Treaty of",Treaty of Rastatt,Event,1714年条约。
Raymond Laurence Brett,R. L. Brett,Person,文学学者。
Reason and fantasy,Reason and fantasy,Concept,[Category Fix] 艺术理论概念。
Rebecca,Rebecca,Person,圣经人物。
Rebecca and Eliezer,Rebecca and Eliezer,Work,[Category Fix] 普桑、穆里罗等画作。
Regatta on the Grand Canal...,Regatta on the Grand Canal in Honour of Frederick IV of Denmark,Work,[Category Fix] Luca Carlevarijs 的画作。
