Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
"Ribera, Don Ferdinando Afan de","Fernando Afán de Ribera, duke of Alcalá",Person,西班牙贵族，那不勒斯总督。
"Ribera, Giuseppe",Jusepe de Ribera,Person,别名 Spagnoletto。
Riccardi palace,Palazzo Medici Riccardi,Place,[Category Fix] 佛罗伦萨宫殿。
"Ricchini, Francesco Maria",Francesco Maria Richini,Person,[Category Fix] 原文误标为 Place。米兰巴洛克建筑师。
"Ricciardi, Giambattista",Giovanni Battista Ricciardi,Person,比萨诗人，Salvator Rosa 的挚友。
"Richard Boyle, 3rd Earl of Burlington","Richard Boyle, 3rd Earl of Burlington",Person,帕拉迪奥主义建筑的重要推动者。
Richard Krautheimer,Richard Krautheimer,Person,著名的建筑史学家。
Richard Parkes Bonington,Richard Parkes Bonington,Person,英国浪漫主义画家。
Richard Wilson,Richard Wilson,Person,威尔士风景画家。
Richard Worsley,"Sir Richard Worsley, 7th Baronet",Person,英国古董收藏家。
"Richard, Abb谷",Abbé Richard,Person,"[OCR Fix] ""Abb谷"" -> ""Abbé""。Jérôme Richard，法国旅行作家 (Description de l'Italie)。"
Richelieu,Cardinal Richelieu,Person,黎塞留枢机。
"Riche?me, Louis",Louis Richême,Person,"[OCR Fix] ""?"" -> ""ê"" (推测)。法国版画家/艺术家。"
"Richmond, Duke of",Duke of Richmond,Person,参见 Lord March (Charles Gordon-Lennox)。
"Richter, Giovanni",Giovanni Richter,Person,(Jean Richter) 瑞典画家，活跃于威尼斯。
Rieti,Rieti,Place,拉齐奥大区城市。
Riminaldi,Orazio Riminaldi,Person,比萨画家。
Rimini,Rimini,Place,里米尼。
Ritratto con aistallo,Ritratto con cristallo,Work,"[OCR Fix/Hypothesis] ""aistallo"" -> ""cristallo"" (Portait with a crystal)? 或其他物体。待查特定画作。"
River Landscape with Apollo and the Cumaean Sibyl,River Landscape with Apollo and the Cumaean Sibyl,Work,[Category Fix] Salvator Rosa 或 Claude Lorrain 的画作。
"Riviera, Lazzaro",Lazzaro Riviera,Person,18世纪作家，与 Felice Boscarati 有关。
Robert Adam,Robert Adam,Person,苏格兰新古典主义建筑师。
Robert Alexander Waller Fund,Robert Alexander Waller Fund,Organization,[Category Fix] 芝加哥艺术博物馆的基金。
Robert Bellarmine,Robert Bellarmine,Person,贝拉明枢机（Saint Robert Bellarmine）。
"Robert Benson, 1st Baron Bingley","Robert Benson, 1st Baron Bingley",Person,
Robert Dingley,Robert Dingley,Person,慈善家/Magdalen Hospital 创立者，艺术赞助人。
Robert Enggass,Robert Enggass,Person,现代艺术史学家（Baciccio 专家）。
Robert Halsband,Robert Halsband,Person,文学学者（Lady Mary Wortley Montagu 传记作者）。
Robert Harley,"Robert Harley, 1st Earl of Oxford",Person,
Robert Hervey,Robert Hervey,Person,可能是 Hervey 家族成员（如 Lord Hervey）。
Robert Nanteuil,Robert Nanteuil,Person,法国肖像版画家。
Robert Walpole,Robert Walpole,Person,英国首相，重要的艺术收藏家（Houghton Hall）。
Roberto Lanetti,Roberto Lanetti,Person,[Verify] 可能是 Roberto Longhi 的误读，或罕见人物。
Roberto Longhi,Roberto Longhi,Person,著名的意大利艺术史学家。
Roberto d'Oderisio,Roberto d'Oderisio,Person,14世纪那不勒斯画家。
"Rockingham, Lord","Charles Watson-Wentworth, 2nd Marquess of Rockingham",Person,
Rococo Pavilion,Rococo Pavilion,Place,[Context] 可能是宁芬堡的 Amalienburg 等。
Rodolfo Gallo,Rodolfo Gallo,Person,威尼斯历史学家。
Rodolfo Pallucchini,Rodolfo Pallucchini,Person,威尼斯艺术史学家。
Roger Hinks,Roger Hinks,Person,艺术史学家。
Roger Jones,Roger Jones,Person,艺术史学家。
Roger Morris,Roger Morris,Person,英国帕拉迪奥主义建筑师。
Rokeby Venus,The Rokeby Venus,Work,[Category Fix] 委拉斯开兹的《镜前的维纳斯》。
Roman Curia,Roman Curia,Organization,[Category Fix] 罗马教廷。
"Romanelli, Giovan Francesco",Giovanni Francesco Romanelli,Person,[Category Fix] 原文误标为 Place。罗马巴洛克画家。
Romania,Romania,Place,罗马尼亚（或指 Romagna 地区，需语境）。
Romolo Panfi,Romolo Panfi,Person,(Romolo Panfi) 佛罗伦萨画家。
Romulm and Remus,Romulus and Remus,Person,"[OCR Fix] ""Romulm"" -> ""Romulus""。"
Romulus,Romulus,Person,罗马建立者。
Romulus and Remus,Romulus and Remus,Work,[Category Fix] 鲁本斯、Carracci 等人的画作主题。
"Roncalli, Cristoforo (Pomerancio)",Cristoforo Roncalli,Person,别名 Il Pomarancio。
"Rosa, Paceco de",Pacecco De Rosa,Person,(Francesco De Rosa) 那不勒斯画家。
Rosalba Carriera,Rosalba Carriera,Person,威尼斯色粉画家。
Rosalba Lorenzetti,Rosalba Lorenzetti,Person,现代学者/图书管理员。
"Rosenberg, Count",Count Rosenberg,Person,可能是 Orsini-Rosenberg 家族成员。
"Rosenberg, Mme",Justine Wynne,Person,"[Context] 著名的 ""Comtesse des Ursins-Rosenberg"" (Justine Wynne)，威尼斯社交名流。"
"Rosis, Giuseppe de",Giuseppe de Rosis,Person,
"Rospigliosi, Giulio (Pope Clement IX)",Clement IX,Person,教皇克莱门特九世。
"Rossano, Princess of",Princess of Rossano,Person,Olimpia Aldobrandini 的头衔之一。
"Rossi, Carlo de'",Carlo de' Rossi,Person,艺术赞助人。
"Rossi, Luigi de'",Luigi de' Rossi,Person,红衣主教（拉斐尔画作中人物）。
"Rossi, Mattia de'",Mattia de' Rossi,Person,建筑师（贝尼尼学生）。
"Rossi, Ventura and Lorenzo",Ventura and Lorenzo Rossi,Person,可能是画家/工匠。
"Rosso, Andrea del (grandfather...)",Andrea del Rosso,Person,佛罗伦萨收藏家。
"Rosso, Giovanni Battista del",Giovanni Battista del Rosso,Person,
"Rosso, Nicola del",Nicola del Rosso,Person,
Rotonda,"Villa Almerico Capra ""La Rotonda""",Place,帕拉迪奥圆厅别墅。
Roveredo,Rovereto,Place,意大利特伦蒂诺城市。
Royal Academy of Arts,Royal Academy of Arts,Organization,[Category Fix] 英国皇家美术学院。
Royal Alcazar of Madrid,Royal Alcázar of Madrid,Place,马德里王宫（旧）。
Royal Chelsea Hospital,Royal Hospital Chelsea,Place,伦敦切尔西荣军院。
Royal Collection,Royal Collection,Organization,[Category Fix] 英国皇室收藏。
Royal Gallery,Royal Gallery,Organization,[Context] 可能指都灵或德累斯顿的皇家画廊。
Royal Library of Turin,Royal Library of Turin,Organization,[Category Fix] 都灵皇家图书馆。
Royal Palace of Aranjuez,Royal Palace of Aranjuez,Place,阿兰胡埃斯王宫。
Royal Palace of Madrid,Royal Palace of Madrid,Place,马德里王宫。
Royal Palace of Naples,Royal Palace of Naples,Place,那不勒斯王宫。
Royal Palace of Turin,Royal Palace of Turin,Place,都灵王宫。
Royal Society,Royal Society,Organization,[Category Fix] 英国皇家学会。
Royal Swedish Academy of Sciences,Royal Swedish Academy of Sciences,Organization,[Category Fix] 瑞典皇家科学院。
Royal chapel,Royal Chapel,Place,皇家礼拜堂（泛指）。
