Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Luca Bartolotti,Luca Bartolotti,Person,[Validation] 人物。
Luca Cambiaso,Luca Cambiaso,Person,[Validation] 热那亚画家。
Luca Carlevarijs,Luca Carlevarijs,Person,[Validation] 维杜塔画家。
Luca Giordano,Luca Giordano,Person,[Validation] 那不勒斯画家。
Luca Ombrosi,Luca Ombrosi,Person,[Validation] 18世纪佛罗伦萨作家 (Life of Gian Gastone)。
Lucca,Lucca,Place,[Validation] 城市。
Lucchese community,Lucchese Community,Group,[Category Fix] 原文误标为 Place。
Lucien Marcheix,Lucien Marcheix,Person,[Validation] 历史学家 (19世纪)。
Lucius Annaeus Florus,Lucius Annaeus Florus,Person,[Validation] 罗马历史学家。
Lucius Annaeus Seneca the Younger,Seneca the Younger,Person,[Validation] 哲学家/剧作家。
Ludovico Antonio Muratori,Ludovico Antonio Muratori,Person,[Validation] 历史学家/学者。
Ludovico Ariosto,Ludovico Ariosto,Person,[Validation] 诗人 (Orlando Furioso)。
Ludovico Carracci,Ludovico Carracci,Person,[Validation] 博洛尼亚画家。
Ludovico Cigoli,Cigoli (Ludovico Cardi),Person,[Disambiguation] 佛罗伦萨画家。
Ludovico David,Ludovico David,Person,[Validation] 卢加诺/罗马画家/作家。
Ludovico Dorigny,Louis Dorigny (Ludovico),Person,[Disambiguation] 法国画家 (在意大利)。
Ludovico Gimignani,Ludovico Gimignani,Person,[Validation] 罗马画家。
Ludovico Ludovisi,Ludovico Ludovisi,Person,[Validation] 枢机主教/收藏家。
"Ludovisi, Alessandro (Pope Gregory XV)",Gregory XV,Person,[Disambiguation] 教皇格里高利十五世。
"Ludovisi, Ludovico (nephew to Pope Gregory XV)",Ludovico Ludovisi,Person,[Validation] 枢机主教。
Ludwig Burchard,Ludwig Burchard,Person,[Validation] 艺术史学家 (Rubens)。
Ludwig Mies van der Rohe,Ludwig Mies van der Rohe,Person,[Validation] 现代建筑师。
Ludwig Schudt,Ludwig Schudt,Person,[Validation] 罗马指南书专家 (Bibliotheca Hertziana)。
Ludwig von Pastor,Ludwig von Pastor,Person,[Validation] 历史学家 (History of the Popes)。
Luigi Adami,Luigi Adami,Person,[Validation] 威尼斯/博洛尼亚人物 (可能是收藏家或画家)。
