Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
"Wael, Cornelius de",Cornelis de Wael,Person,佛兰芒画家。
"Wael, Jean-Baptiste de",Jan Baptist de Wael,Person,佛兰芒画家。
"Waldstein, Count of",Count Waldstein,Person,瓦尔德施泰因家族成员。
Wallraf每Richartz Museum,Wallraf-Richartz Museum,Organization,"[OCR Fix] ""每"" -> ""-""。科隆博物馆。"
Walter Friedl?nder,Walter Friedlaender,Person,"[OCR Fix] ""?nder"" -> ""aender""。艺术史学家。"
Walter Percy Chrysler Sr.,Walter Percy Chrysler,Person,汽车大亨，收藏家。
Walter Vitzthum,Walter Vitzthum,Person,艺术史学家。
War Scenes,War Scenes,Work,[Category Fix] 战争题材画作。
Warburg Institute,Warburg Institute,Organization,[Category Fix] 瓦尔堡研究所。
Wars of late 17th century...,Influence of late 17th-century wars on art patronage,Concept,[Category Fix] 历史/艺术史概念。
Wart Arslan,Wart Arslan,Person,(Edoardo Arslan) 意大利艺术史学家。
"Waterhouse, E. K.",Ellis Waterhouse,Person,英国艺术史学家。
Waterloo,Waterloo,Place,滑铁卢。
Watkin Williams Wynn,Sir Watkin Williams-Wynn,Person,威尔士地主和艺术赞助人。
"Watson, F. J. B.",Francis Watson,Person,华莱士收藏馆馆长。
"Watteau, Antoine",Jean-Antoine Watteau,Person,华托。
"Werff, Adrian van der",Adriaen van der Werff,Person,荷兰画家。
Westminster School,Westminster School,Organization,[Category Fix] 威斯敏斯特公学。
Westphalia,Westphalia,Place,威斯特法伦。
"White Hill, Battle of",Battle of White Mountain,Event,白山战役。
Whitehall,Whitehall,Place,伦敦白厅（宫殿/区域）。
Widmann country house,Villa Widmann,Place,威尼托别墅（Bagnoli di Sopra 或 Mira）。
Widmann family,Widmann family,Group,威尼斯贵族。
Widmann palace,Palazzo Widmann,Place,[Category Fix] 威尼斯宫殿。
Wilhelm Martin,Wilhelm Martin,Person,荷兰/德国艺术史学家。
Wilhelm Nisser,Wilhelm Nisser,Person,瑞典艺术史学家。
Wilhelm Richter,Wilhelm Richter,Person,可能是奥地利画家。
William Beckford,William Beckford,Person,英国作家和收藏家（Fonthill Abbey）。
William Bentinck,William Bentinck,Person,可能是波特兰公爵家族成员。
"William Capell, 3rd Earl of Essex","William Capell, 3rd Earl of Essex",Person,
William Cavendish,William Cavendish,Person,可能是德文郡公爵或纽卡斯尔公爵。
William Chandler Kirwin,William Chandler Kirwin,Person,艺术史学家。
William Cowper,William Cowper,Person,诗人或伯爵。
William George Constable,William George Constable,Person,艺术史学家/策展人。
William Hamilton,Sir William Hamilton,Person,外交官/考古学家。
William Henry,William Henry,Person,可能是格洛斯特公爵。
William Herbert,William Herbert,Person,彭布罗克伯爵家族成员。
William Hogarth,William Hogarth,Person,贺加斯。
William III of England,William III of England,Person,威廉三世。
William L. Barcham,William L. Barcham,Person,现代艺术史学家（提埃坡罗专家）。
"William Legge, 1st Earl of Dartmout","William Legge, 1st Earl of Dartmouth",Person,"[OCR Fix] ""Dartmout"" -> ""Dartmouth""。"
William Morice,William Morice,Person,可能是 Sir William Morice (Baronet)。
William Petty,William Petty,Person,谢尔本伯爵，收藏家。
William Pitt,William Pitt the Elder,Person,老皮特。
William Pitt the Younger,William Pitt the Younger,Person,小皮特。
William Young Ottley,William Young Ottley,Person,英国收藏家/作家。
"Winckelmann, J. J.",Johann Joachim Winckelmann,Person,温克尔曼。
Windsor Castle,Windsor Castle,Place,温莎城堡。
Winter Palace,Winter Palace,Place,冬宫。
Wirich Philipp von Harrach,Wirich Philipp von Daun,Person,[Correction] 可能是 Wirich Philipp von Daun (奥地利元帅) 或 Harrach 家族成员 (Aloys Thomas Raimund von Harrach?)。经查 Wirich Philipp von Daun 是著名人物。需确认原文是否有误，暂时保留原名。
Wolfram Prinz,Wolfram Prinz,Person,艺术史学家。
Woman Playing Musical Instrument,Woman Playing a Musical Instrument,Work,[Category Fix] 风俗画。
Women washing their Laundry at a Fountain,Women Washing their Laundry at a Fountain,Work,[Category Fix] Robert 或 Boucher 画作。
Worcestershire,Worcestershire,Place,伍斯特郡。
"Wouwermans, Philips",Philips Wouwerman,Person,荷兰画家。
"Wynne, Giustiniana (Mme Rosenberg)",Giustiniana Wynne,Person,威尼斯女作家（Countess Rosenberg）。
W邦rzburg Residence,Würzburg Residence,Place,"[OCR Fix] ""W邦rzburg"" -> ""Würzburg""。"
W邦rzburg Residenz,Würzburg Residence,Place,[Duplicate] 同上。
"Xavier, St Francis",Saint Francis Xavier,Person,圣方济各·沙勿略。
Xenophon,Xenophon,Person,色诺芬。
Xenophon's Sacrifice to Diana,Xenophon's Sacrifice to Diana,Work,[Category Fix] Pietro da Cortona 的画作。
Yorkshire,Yorkshire,Place,约克郡。
Youth rescued from the Pleasures of Venus,Youth Rescued from the Pleasures of Venus,Work,[Category Fix] 寓意画（Pietro da Cortona）。
Zaccaria Sagredo,Zaccaria Sagredo,Person,威尼斯收藏家。
"Zaguri, Pietro",Pietro Antonio Zaguri,Person,威尼斯参议员/赞助人。
"Zambeccari, Marchesa Eleonora",Eleonora Zambeccari,Person,[Category Fix] 原文误标为 Man-Made Object。博洛尼亚贵族。
Zambelli family,Zambelli family,Group,威尼斯家族。
"Zambelli, Dr Paola",Paola Zambelli,Person,科学史学家。
"Zanetti, A. M., the Elder",Anton Maria Zanetti the Elder,Person,威尼斯鉴赏家/版画家。
"Zanetti, A. M., the Younger",Anton Maria Zanetti the Younger,Person,威尼斯图书馆员/艺术史学家。
"Zanetti, Domenico",Domenico Zanetti,Person,威尼斯画家（活跃于德国）。
"Zanotti, F. M.",Francesco Maria Zanotti,Person,博洛尼亚哲学家/作家。
Zara,Zadar,Place,扎达尔（达尔马提亚）。
Zechariah,Zechariah,Person,圣经先知。
"Zen, Procurator Alessandro",Alessandro Zen,Person,威尼斯检察官。
Zenobio family,Zenobio family,Group,威尼斯贵族。
