Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Francis I of France,Francis I of France,Person,[Validation] 法国国王。
Francis Watson,Francis Watson,Person,[Validation] 艺术史学家 (Wallace Collection)。
Francis Xavier,Saint Francis Xavier,Person,[Disambiguation] 圣方济各·沙勿略。
Francisco Goya,Francisco Goya,Person,[Validation] 西班牙画家。
Franco Venturi,Franco Venturi,Person,[Validation] 历史学家 (Settecento riformatore)。
Franconia,Franconia,Place,[Validation] 德国地区。
Frank Edward Manuel,Frank E. Manuel,Person,[Validation] 历史学家。
Frans Pourbus the Younger,Frans Pourbus the Younger,Person,[Validation] 佛兰芒肖像画家。
Frans van Mieris the Elder,Frans van Mieris the Elder,Person,[Validation] 荷兰画家。
Franz Ehrle,Franz Ehrle,Person,[Validation] 枢机主教/梵蒂冈图书馆长。
François I of France,Francis I of France,Person,[Category Fix] 原文误标为 Place。
"Fratta, D. M.",Domenico Maria Fratta,Person,[Reconstruction] 博洛尼亚版画家。
Frederick Antal,Frederick Antal,Person,[Validation] 艺术史学家。
"Frederick Augustus I, Elector of Saxony",Frederick Augustus I (Augustus II the Strong),Person,[Disambiguation] 萨克森选帝侯/波兰国王。
"Frederick Augustus II, Elector of Saxony",Frederick Augustus II (Augustus III of Poland),Person,[Disambiguation] 萨克森选帝侯/波兰国王。
Frederick Charles,Frederick Charles (Bishop),Person,[Disambiguation] 可能是 Friedrich Karl von Schönborn (Prince-Bishop)。
Frederick II of Prussia,Frederick the Great,Person,[Validation] 普鲁士国王。
Frederick III,Frederick III (Holy Roman Emperor),Person,[Disambiguation] 神圣罗马帝国皇帝。
Frederick III (Holy Roman Emperor),Frederick III (Holy Roman Emperor),Person,[Validation] 同上。
Frederick IV of Denmark,Frederick IV of Denmark,Person,[Validation] 丹麦国王。
Frederick the Great,Frederick the Great,Person,[Validation] 普鲁士国王。
Frederiksborg Palace,Frederiksborg Palace,Place,[Validation] 丹麦宫殿。
French Academy in Rome,French Academy in Rome,Organization,[Category Fix] 原文误标为 Group (可接受，建议为 Organization)。
French hostility to Italian art in the 17th century,French hostility to Italian art (17th c.),Concept,[Validation] 艺术史议题。
French patronage,French patronage,Concept,[Validation] 艺术赞助。
Fresco on staircase of Hampton Court Palace,Fresco on staircase of Hampton Court Palace,Work,[Validation] Verrio/Laguerre壁画。
"Frescobaldi, Gerolamo",Girolamo Frescobaldi,Person,[Reconstruction] 作曲家。
Frescoes in Lanfranco Cathedral,Frescoes in Lanfranco Chapel (Modena Cathedral),Work,"[Correction] Lanfranco 是摩德纳大教堂的建筑师。可能是指 ""Frescoes in the Lanfranco Chapel"" 或 ""Frescoes by Lanfranco"" (Giovanni Lanfranco)。结合上下文 ""Frescoes in..."", 可能是地点。但 Lanfranco 也是画家。需确认。如果指 Lanfranco (画家) 在 Naples Cathedral 的壁画，则为 Work。如果指 Modena Cathedral (Arch. Lanfranco)，则为 Place/Work。倾向于 Giovanni Lanfranco 的壁画作品。"
Frescoes in Palazzo Barberini Salone,Allegory of Divine Providence and Barberini Power,Work,[Disambiguation] Pietro da Cortona 壁画。
Frescoes in Sant'Andrea della Valle,Frescoes in Sant'Andrea della Valle,Work,[Validation] Domenichino/Lanfranco 壁画。
Frescoes in the Corsini Chapel,Frescoes in the Corsini Chapel,Work,[Validation] 罗马 Lateran 或佛罗伦萨 Carmine。
Frescoes in the Palace at Valmontone,Frescoes in the Palazzo Doria Pamphilj (Valmontone),Work,[Validation] Preti/Mola 壁画。
Friedrich August I,Frederick Augustus I (Saxony),Person,[Disambiguation] 同 Frederick Augustus I。
Frits Lugt,Frits Lugt,Person,[Validation] 收藏家/学者 (Lugt Numbers)。
Fritz Dworschak,Fritz Dworschak,Person,[Validation] 维也纳博物馆馆长/钱币学家。
Fritz Saxl,Fritz Saxl,Person,[Validation] 艺术史学家 (Warburg Institute)。
Friuli,Friuli,Place,[Validation] 意大利地区。
Frédéric Barberousse,Frederick Barbarossa,Person,[Disambiguation] 腓特烈一世 (神圣罗马帝国)。
Frédéric Villot,Frédéric Villot,Person,[Validation] 卢浮宫策展人/朋友 (Delacroix)。
Fulvio Miari,Fulvio Miari,Person,[Validation] 贝卢诺历史学家 (Cronache bellunesi)。
Fulvio Testi,Fulvio Testi,Person,[Validation] 诗人/外交官。
"Fumiani, Giannantonio",Giovanni Antonio Fumiani,Person,[Reconstruction] 威尼斯画家。
"Furnaletto, Lodovico",Lodovico Furlanetto,Person,"[OCR Fix] ""Furnaletto"" -> ""Furlanetto"" (威尼斯出版商)。"
G.M. Sasso,Giovanni Maria Sasso,Person,[Disambiguation] 威尼斯画商/修复师。
"Gabburri, Francesco",Francesco Maria Niccolò Gabburri,Person,[Category Fix] 原文误标为 Place。
Gabinetto fotografico nazionale,Gabinetto Fotografico Nazionale,Organization/Place,[Category Fix] 原文误标为 Place。
Gabri?l Grupello,Gabriel Grupello,Person,"[OCR Fix] ""?"" -> ""ë""。佛兰芒雕塑家。"
Gabriel Bonnot de Mably,Gabriel Bonnot de Mably,Person,[Validation] 哲学家。
Gabriel Hanotaux,Gabriel Hanotaux,Person,[Validation] 历史学家/政治家。
Gabriel Jules de Cosnac,Gabriel-Jules de Cosnac,Person,[Validation] 历史学家 (Memoirs of Louis XIV)。
Gabriel Maugain,Gabriel Maugain,Person,[Validation] 学者 (Etude sur l'évolution intellectuelle de l'Italie)。
Gabriel Naudé,Gabriel Naudé,Person,[Validation] 图书馆学家/学者。
Gabriel-Fran?ois Coyer,Gabriel-François Coyer,Person,"[OCR Fix] ""?"" -> ""ç""。"
Gabriele Balestrieri,Gabriele Balestrieri,Person,[Validation] 帕尔马画家 (或相关人物)。
Gabriele dal Pozzo,Gabriele dal Pozzo,Person,[Validation] 家族成员 (Cassiano的堂兄?)。
"Gabrieli, Lodovico",Lodovico Gabrielli,Person,"[OCR Fix] ""Gabrieli"" -> ""Gabrielli"" (可能)。也有可能是 Lodovico Gabriel。"
Gaetano Beani,Gaetano Beani,Person,[Validation] 佛罗伦萨档案学家/历史学家 (19世纪)。
Gaetano Caffarelli,Gaetano Majorano (Caffarelli),Person,[Disambiguation] 阉伶歌手 Caffarelli。
Gaetano Cozzi,Gaetano Cozzi,Person,[Validation] 威尼斯历史学家。
Gaetano Fanti,Gaetano Fanti,Person,[Validation] 壁画画家 (Quadraturista)。
Gaetano Moroni,Gaetano Moroni,Person,[Validation] 教皇宫廷官员/百科全书作者。
Gaetano Pieraccini,Gaetano Pieraccini,Person,[Validation] 医生/政治家/美第奇家族研究者。
Gaetano Zompini,Gaetano Zompini,Person,[Validation] 威尼斯画家/版画家 (Le Arti che vanno per via)。
Gaius Mucius Scaevola,Gaius Mucius Scaevola,Person (Myth/Hist),[Validation] 罗马英雄。
Gaius Plinius Secundus,Pliny the Elder,Person,[Disambiguation] 老普林尼。
Galeazzo Arconati,Galeazzo Arconati,Person,[Validation] 米兰收藏家。
Galeazzo Gualdo Priorato,Galeazzo Gualdo Priorato,Person,[Validation] 历史学家/雇佣兵。
"Galgario, Fra (Vittore Ghislandi)",Fra Galgario,Person,[Validation] 画家。
"Galiani, Abate",Ferdinando Galiani,Person,[Reconstruction] 经济学家。
Galileo Galilei,Galileo Galilei,Person,[Validation] 伽利略。
"Gallacini, Teofilo",Teofilo Gallaccini,Person,"[OCR Fix] ""Gallacini"" -> ""Gallaccini"" (锡耶纳学者/建筑理论家)。"
Galleria Borghese,Galleria Borghese,Place,[Validation] 罗马美术馆。
Galleria Doria Pamphilj,Galleria Doria Pamphilj,Place,[Validation] 罗马美术馆。
Galleria Giustiniani,Galleria Giustiniani,Work/Place,[Context] 可能是指 Giustiniani 收藏目录 (Work) 或宫殿画廊 (Place)。
Galleria L'Antonina,Galleria L'Antonina,Place,[Validation] 罗马古董店/画廊。
Galleria Nazionale,Galleria Nazionale (Rome/Parma?),Place,[Ambiguity] 需区分。
Galleria Nazionale d'Arte Antica,Galleria Nazionale d'Arte Antica,Place,[Validation] 罗马国立古代艺术美术馆 (Barberini/Corsini)。
Galleria Spada,Galleria Spada,Place,[Validation] 罗马美术馆。
Gallerie dell'Accademia,Gallerie dell'Accademia (Venice),Place,[Validation] 威尼斯学院美术馆。
Gallerie di Firenze,Uffizi / Pitti (Gallerie Fiorentine),Place,[Validation] 佛罗伦萨美术馆统称。
Gallery of the Aeneid,Gallery of the Aeneid (Palazzo Buonaccorsi),Place,[Validation] 马切拉塔的埃涅阿斯画廊。
"Galli-Bibiena, Ferdinando",Ferdinando Galli-Bibiena,Person,[Reconstruction] 建筑师/透视学家。
"Gambarini, Giuseppe",Giuseppe Gambarini,Person,[Reconstruction] 博洛尼亚风俗画家。
Ganymede,Ganymede,Person (Myth),[Validation] 神话人物。
"Garganego, Girolamo",Girolamo Garganego,Person,[Validation] 维罗纳/威尼斯雕塑家? 或是 Girolamo Garganico? 需确认。Garganego 可能是威尼斯贵族。
Gaspar Méndez de Haro,Gaspar Méndez de Haro (Marquis of Carpio),Person,[Validation] 西班牙收藏家。
Gaspar Roomer,Gaspar Roomer,Person,[Validation] 那不勒斯佛兰芒商人/收藏家。
Gaspar de Guzmán,"Gaspar de Guzmán, Count-Duke of Olivares",Person,[Disambiguation] 奥利瓦雷斯伯爵-公爵。
Gaspard Dughet,Gaspard Dughet,Person,[Validation] 画家。
Gaspare Altieri,Gaspare Altieri,Person,[Validation] 罗马亲王 (Clement X侄女婿)。
Gaspare Diziani,Gaspare Diziani,Person,[Validation] 威尼斯画家。
Gaspare Partridge,Gaspare Partridge,Person,[Check Original] 可能是 English artist in Italy? 或 Joseph Partridge? 待定。
Gaspare Vigarani,Gaspare Vigarani,Person,[Validation] 剧院建筑师 (Modena/Paris)。
Gasparo Gozzi,Gasparo Gozzi,Person,[Validation] 威尼斯作家。
Gasparo Prospero Pesci,Prospero Pesci,Person,"[OCR Fix] ""Gasparo Prospero"" -> ""Prospero""? Prospero Pesci 是罗马画家。Gasparo 可能是误加。"
Gaudenzio Claretta,Gaudenzio Claretta,Person,[Validation] 历史学家 (Savoy)。
"Gaulli, Giovanni Battista (Baciccio)",Giovanni Battista Gaulli (Baciccio),Person,[Validation] 画家。
"Gavasetti, Camillo",Camillo Gavassetti,Person,[Reconstruction] 莫德纳画家。
Gazzeta Veneta,Gazzetta Veneta,Work,"[OCR Fix] ""Gazzeta"" -> ""Gazzetta""。Gozi的报纸。"
Gem?ldegalerie Alte Meister,Gemäldegalerie Alte Meister,Place,"[OCR Fix] ""?"" -> ""ä""。德累斯顿历代大师画廊。"
