Refined_Formal_Name,Original-QID,Original-QID 描述,Second-Query_QID,Second-Query_QID 描述,Second-Query_Label,保留 QID,保留原因
Moor Park,Q3862780,赫特福德郡的乡村别墅（英式赞助背景）,Q6908050,无明确描述,Moor Park,Q3862780,确认为著名的英国贵族庄园，涉及跨国收藏流向。
Museo dell'Opera del Duomo,Q1200696,佛罗伦萨圣母百花大教堂博物馆,Q3328407,无明确描述,Museo dell'Opera del Duomo,Q1200696,确认为佛罗伦萨核心艺术收藏机构。
Niccolò Simonelli,Q97072945,17世纪罗马著名的艺术商与收藏家,Q97072934,无明确描述,Niccolò Simonelli,Q97072945,书中涉及罗马艺术市场运作的关键中间人。
Nicholas Stone,Q1985010,英国雕塑家与建筑师,Q75956717,无明确描述,Nicholas Stone,Q1985010,确认为将意大利风格引入英国的重要艺术家。
Nicholas Turner,Q110243718,英国艺术史学家（大英博物馆研究员）,Q75874439,无明确描述,Nicholas Turner,Q110243718,确认为书中引用的现代学术权威。
Norfolk,Q23109,英国诺福克郡,Q959951,诺福克公爵（赞助人身份）,Norfolk,Q959951,在赞助史语境下，通常指代著名的诺福克公爵收藏家族。
Olavo Redig de Campos,Q33189120,现代建筑师,Q10340504,描述项,Olavo Redig de Campos,Q33189120,确认为相关的现代文献作者或研究者。
Oliver Millar,Q3350664,艺术史学家，研究查理一世收藏的专家,Q133014990,无明确描述,Oliver Millar,Q3350664,确认为研究英国皇家赞助史的核心学者。
Oskar Pollak,Q89302,艺术史学家，研究罗马巴洛克的先驱,Q105642965,无明确描述,Oskar Pollak,Q89302,确认为书中关于罗马赞助体系研究的参考文献作者。
Palatinate,Q326359,莱茵-普法尔茨地区,Q65028013,无明确描述,Palatinate,Q326359,地理位置，涉及 17 世纪欧洲战争与艺术掠夺背景。
Palazzo Colonna,Q1971299,罗马科隆纳宫,Q106044567,无明确描述,Palazzo Colonna,Q1971299,确认为科隆纳家族的赞助中心及重要画廊所在地。
Palazzo Farnese,Q848386,罗马法尔内塞宫,Q2560897,艺术作品中的法尔内塞宫,Palazzo Farnese,Q848386,确认为巴洛克壁画赞助的核心建筑。
Palazzo Reale,Q3890742,那不勒斯王宫,Q426339,宫廷建筑,Royal Palace of Naples,Q3890742,书中涉及那不勒斯副王赞助体系的核心地点。
Palazzo Venezia,Q1123879,罗马威尼斯宫,Q1228270,无明确描述,Palazzo Venezia,Q1123879,确认为威尼斯共和国驻罗马使节的赞助中心。
Palazzo della Ragione,Q2517428,帕多瓦理智宫,Q3361361,无明确描述,Palazzo della Ragione,Q2517428,确认为北意重要的建筑与艺术遗址。
Palestrina,Q368944,作家、作曲家帕莱斯特里纳,Q30028551,帕莱斯特里纳镇,Palestrina,Q368944,艺术赞助中常涉及的音乐家本体。
Pallas Athena,Q37122,雅典娜女神,Q3610098,艺术中的雅典娜,Athena,Q37122,艺术创作中的神话本体。
Pan,Q132582,牧神潘,Q80174,艺术中的潘,Pan,Q132582,艺术创作中的神话本体。
Pan and Syrinx,Q55412120,普桑的画作《潘与绪任克斯》,Q111645387,艺术题材描述,Pan and Syrinx,Q55412120,指代书中讨论的特定巴洛克名作。
Peter de Witte,Q315803,16世纪画家（彼得·德·维特）,Q7177906,无明确描述,Peter de Witte II,Q315803,确认为与梅第奇或巴伐利亚宫廷相关的艺术家。
Philadelphia Museum of Art,Q510324,费城艺术博物馆,Q114245540,无明确描述,Philadelphia Museum of Art Union,Q510324,确认为现存许多巴洛克赞助作品的馆藏地。
Phocion,Q175942,古希腊将领福基翁,Q121842052,艺术作品中的福基翁,Phocion,Q175942,普桑著名风景画《福基翁的葬礼》的主题人物。
Piazza del Duomo,Q51150,佛罗伦萨主教座堂广场,Q51108,无明确描述,piazza del Duomo,Q51150,确认为城市赞助史中的核心空间。
Pierre Clément,Q22970617,18世纪文人、评论家,Q118111738,无明确描述,Pierre Clément,Q22970617,其书信集是研究当时艺术趣味的重要史料。
Pietro Antonio Novelli,Q1718478,18世纪威尼斯画家、雕刻家,Q2374666,无明确描述,Pietro Antonio Novelli,Q1718478,确认为威尼斯艺术转折期的代表人物。
Pietro Barbarigo,Q107565971,18世纪威尼斯贵族、赞助人,Q3903674,无明确描述,Pietro Barbarigo,Q107565971,确认为巴尔巴里戈家族的重要赞助成员。
Pietro Bellotti,Q1111180,17世纪威尼斯画家,Q3903693,无明确描述,Pietro Bellotti,Q1111180,以肖像画和风俗画著称的艺术家本体。
Pietro Gradenigo,Q108867130,18世纪威尼斯藏家、编年史家,Q723300,无明确描述,Pietro Gradenigo,Q108867130,其日记是研究威尼斯艺术生活的一手资料。
Pietro Romano,Q85820871,17世纪雕塑家,Q133280575,无明确描述,Pietro Romano,Q85820871,确认为在罗马工作的石工与雕刻艺术家。
