SN,Refined_Formal_Name (正式名),Original-QID,Original-QID 描述,Second-Query_QID,Second-Query_QID 描述,保留 QID,保留原因分析 (判定标准)
101,Francesco Fontana,Q3749996,17-18世纪意大利巴洛克建筑师（1668-1708），卡洛·丰塔纳之子。,Q646955,17世纪意大利枢机主教。,Q3749996,标准：职业角色 (P106)。 建筑师 Fontana 是多项教皇工程的执行者。
102,Francesco Maidalchini,Q3080994,17世纪意大利枢机主教（1631-1700），奥林匹娅·迈达尔基尼之侄，显赫赞助人。,Q112434208,描绘其形象的肖像画。,Q3080994,标准：赞助人本体。 指向契约中的委托方角色。
103,Francesco Milizia (人物),Q323009,18世纪著名的意大利建筑理论家与艺术评论家（1725-1798），新古典主义倡导者。,Q3750297,描绘米利齐亚的半身雕塑。,Q323009,标准：职业 (P106)。 指向理论家本体，研究其对赞助口味的影响。
103,Bust of Francesco Milizia,Q323009,同上。,Q3750297,记录这位评论家形象的肖像作品。,Q3750297,标准：正式作品名。 指向艺术品实体。
104,Francis Bacon,Q37388,17世纪英国哲学家、政治家。其肖像常由当时名家受托创作。,Q154340,20世纪英国画家弗朗西斯·培根。,Q37388,标准：年代与语境。 在历史赞助背景下，通常指代 17 世纪的哲学家被画者。
105,Francis Watson,Q1441774,20世纪著名的艺术史学家、华莱士收藏馆馆长，专门研究法式家具与赞助。,Q112540489,不同领域。,Q1441774,标准：职业领域。 指向艺术史研究者。
106,Franconia,Q150907,德国法兰克尼亚地区。维尔茨堡宫（由提埃坡罗装饰）的赞助背景地。,Q1374404,其他行政区。,Q150907,标准：地理本体。 指向核心历史地理实体。
107,Frederick the Great,Q118998667,普鲁士国王腓特烈二世（1712-1786）。著名的艺术与音乐赞助人。,Q114986073,腓特烈大帝的肖像。,Q118998667,标准：赞助人本体。 确认为无忧宫等工程的最高委托人。
108,Fulvio Testi,Q594614,17世纪意大利外交官与诗人（1593-1646），与埃斯特家族赞助圈紧密相关。,Q120973899,描绘其形象的肖像。,Q594614,标准：身份。 指向历史人物本体。
109,Ganymede,Q131588,希腊神话中美少年。巴洛克天顶画中最受赞助人喜爱的寓言题材。,Q3169,木卫三。,Q131588,标准：语义匹配。 艺术背景下排除天文名词。
110,Gasparo Gozzi,Q1232500,18世纪威尼斯作家与评论家，活跃于威尼斯艺术赞助社交圈。,Q91016550,相关的肖像作品。,Q1232500,标准：职业身份。 指向文人/评论家本体。
111,Giacomo Lomellini,Q15896926,热那亚共和国总督，17世纪重要的热那亚艺术赞助人。,Q117459069,相关的视觉记录。,Q15896926,标准：赞助人地位。 确认为政治权力与艺术契约的核心。
112,Giovanni Adamo,Q581481,18世纪利希滕斯坦亲王（Johann Adam Andreas），欧洲最重要的艺术收藏家之一。,Q77227732,相关记录。,Q581481,标准：收藏家身份。 确认为该家族赞助史的关键成员。
113,Giovanni Battista Pasquali,Q3762420,18世纪威尼斯著名的出版商与艺术赞助中介，服务于约瑟夫·史密斯领事。,Q3766722,同名人物。,Q3762420,标准：职业 (P106)。 与威尼斯 18 世纪艺术市场紧密关联。
