SN,Refined_Formal_Name (正式名),Original-QID,Original-QID 描述,Second-Query_QID,Second-Query_QID 描述,保留 QID,保留原因分析 (判定标准)
301,The Last Supper (作品),Q124721,达芬奇 (Leonardo da Vinci) 1490年代受卢多维科·斯福尔扎委托创作的壁画巅峰。,Q110140410,相关的宗教概念描述。,Q124721,判定标准：具体性。 指代世界艺术史上最重要的单件委约作品。
302,The Massacre of the Innocents,Q1599420,鲁本斯 (Rubens) 约 1611 年受托创作的名作，现藏于安大略美术馆。,Q3827960,相关的圣经背景描述。,Q1599420,判定标准：正式作品名。 指向巴洛克赞助中极具代表性的实物。
303,The Martyrdom of Saint Peter,Q3904610,米开朗基罗 (Michelangelo) 1546 年受教皇保罗三世委托为帕利纳礼拜堂创作。,Q3903674,相关的历史描述。,Q3904610,判定标准：具体性。 确认为教皇赞助体系的核心工程成果。
304,The Sacrifice of Isaac,Q3904404,卡拉瓦乔 (Caravaggio) 受枢机主教马费奥·巴贝里尼（后来的教皇乌尔班八世）委托创作。,Q3903693,相关的描述。,Q3904404,判定标准：具体性。 指向巴洛克早期最具个人化特征的受托名作。
305,The Virgin and Child,Q111648805,抽象题材：圣母与圣子。在 15-17 世纪是欧洲最普遍的私人还愿赞助题材。,Q110243718,其他。,Q111648805,判定标准：题材广泛性。 除非明指某画，否则保留通用受托题材 QID。
306,The Virgin Mary,Q34374,圣母玛利亚。宗教艺术赞助的核心，象征中介与慈悲。,Q34201,其他描述。,Q34374,判定标准：题材本体。 指向圣人实体，用于关联各种“守护者”委托。
307,The Virgin of the Rocks,Q2051448,达芬奇为圣母无染原罪兄弟会受托创作的《岩间圣母》，涉及著名的法律诉讼。,Q20175244,相关的描述。,Q2051448,判定标准：正式作品名。 指向赞助史上极具研究价值的实物。
308,Theodor Mommsen,Q21289021,19世纪著名的历史学家（1817-1903），研究古典法律与铭文赞助。,Q508392,其他描述。,Q21289021,判定标准：职业。 指向研究古代制度的关键学者本体。
309,Theresa of Avila (人物),Q131588,圣德肋撒（1515-1582）。赤足加尔默罗会创始人，17世纪巴洛克赞助最推崇的圣徒。,Q3169,相关的艺术作品。,Q131588,判定标准：实体类型 (P31)。 确认为神话/历史人物本体。
309,Ecstasy of Saint Teresa (作品),Q131588,同上。,Q11762206,贝尼尼为枢机主教波尔纳罗受托创作的雕塑巅峰。,Q11762206,判定标准：正式作品名。 指向巴洛克雕塑赞助史上最著名的实物成果。
310,Theseus,Q132582,希腊神话题材。新古典主义时期（如卡诺瓦的作品）常受托表现英雄美德。,Q131552,其他描述。,Q132582,判定标准：题材本体。 指向神话人物实体。
311,Thomas Coke (人物),Q110140410,第一代莱斯特伯爵（1697-1759），霍克姆庄园的建造者，18世纪英国顶级赞助人。,Q76038239,描绘托马斯·柯克的肖像。,Q110140410,判定标准：赞助人地位。 确认为英国大旅行时期最重要的赞助实体。
311,Portrait of Thomas Coke,Q110140410,同上。,Q76038239,庞培奥·巴托尼 (Batoni) 为其创作的官方肖像，现藏于霍克姆庄园。,Q76038239,判定标准：正式作品名。 指向典型的“大旅行”肖像赞助实物。
312,Thomas Foley (人物),Q7789693,第一代福利男爵（1716-1777），18世纪英国著名的地产赞助人与收藏家。,Q7789691,第二代福利男爵。,Q7789693,判定标准：赞助贡献。 第一代男爵在庄园扩建与艺术委托方面影响力更为显著。
313,Thomas Sydenham (人物),Q559213,17世纪英国医学家。其社会地位使其成为 17 世纪英国多位肖像画家争相描绘的对象。,Q75269441,由女画家玛丽·比尔 (Mary Beale) 创作的肖像油画。,Q559213,判定标准：职业。 指向医学家本体，作为被画者参与了艺术契约。
313,Portrait of Thomas Sydenham,Q559213,同上。,Q75269441,描述见上。现藏于伦敦国家肖像馆。,Q75269441,判定标准：正式作品名。 指向具体的图像记录实物。
314,Tolfa (地点),Q243488,意大利拉齐奥城镇。美第奇家族及教廷因该地的明矾矿藏而建立庞大的赞助联系。,Q37020169,托尔法地区的地理区划描述。,Q243488,标准：地理本体。 指向核心历史赞助背景地本体。
